case_id,counterfactual_id,feature,display_feature,original_value,counterfactual_value,absolute_change,relative_change,changed,directly_actionable_change,at_lower_boundary,at_upper_boundary
XAI_001,XAI_001_RECOVERED_CF01,AMT_CREDIT,Requested credit amount,528687.0,76410.0,-452277.0,-0.8554721413615239,True,True,True,False
XAI_001,XAI_001_RECOVERED_CF01,AMT_ANNUITY,Annuity amount,25843.5,6187.5,-19656.0,-0.7605780950722619,True,True,True,False
XAI_001,XAI_001_RECOVERED_CF01,AMT_GOODS_PRICE,Goods price,436500.0,1108931.8,672431.8,1.5405081328751433,True,True,False,False
XAI_002,XAI_002_RECOVERED_CF01,AMT_CREDIT,Requested credit amount,640080.0,640080.0,0.0,0.0,False,False,False,False
XAI_002,XAI_002_RECOVERED_CF01,AMT_ANNUITY,Annuity amount,31261.5,6187.5,-25074.0,-0.8020728371959119,True,True,True,False
XAI_002,XAI_002_RECOVERED_CF01,AMT_GOODS_PRICE,Goods price,450000.0,454500.0,4500.0,0.01,True,True,False,False
XAI_003,XAI_003_RECOVERED_CF01,AMT_CREDIT,Requested credit amount,640080.0,640080.0,0.0,0.0,False,False,False,False
XAI_003,XAI_003_RECOVERED_CF01,AMT_ANNUITY,Annuity amount,31261.5,6187.5,-25074.0,-0.8020728371959119,True,True,True,False
XAI_003,XAI_003_RECOVERED_CF01,AMT_GOODS_PRICE,Goods price,450000.0,450000.0,0.0,0.0,False,False,False,False
XAI_004,XAI_004_RECOVERED_CF01,AMT_CREDIT,Requested credit amount,545040.0,545040.0,0.0,0.0,False,False,False,False
XAI_004,XAI_004_RECOVERED_CF01,AMT_ANNUITY,Annuity amount,26509.5,6187.5,-20322.0,-0.7665931081310473,True,True,True,False
XAI_004,XAI_004_RECOVERED_CF01,AMT_GOODS_PRICE,Goods price,450000.0,450000.0,0.0,0.0,False,False,False,False
XAI_005,XAI_005_RECOVERED_CF01,AMT_CREDIT,Requested credit amount,545040.0,545040.0,0.0,0.0,False,False,False,False
XAI_005,XAI_005_RECOVERED_CF01,AMT_ANNUITY,Annuity amount,26640.0,6187.5,-20452.5,-0.7677364864864865,True,True,True,False
XAI_005,XAI_005_RECOVERED_CF01,AMT_GOODS_PRICE,Goods price,450000.0,450000.0,0.0,0.0,False,False,False,False
XAI_006,XAI_006_RECOVERED_CF01,AMT_CREDIT,Requested credit amount,288000.0,180170.1,-107829.9,-0.374409375,True,True,False,False
XAI_006,XAI_006_RECOVERED_CF01,AMT_ANNUITY,Annuity amount,19246.5,6187.5,-13059.0,-0.6785129763853168,True,True,True,False
XAI_006,XAI_006_RECOVERED_CF01,AMT_GOODS_PRICE,Goods price,288000.0,292500.0,4500.0,0.015625,True,True,False,False
XAI_009,XAI_009_RECOVERED_CF01,AMT_CREDIT,Requested credit amount,985221.0,76410.0,-908811.0,-0.9224437968740009,True,True,True,False
XAI_009,XAI_009_RECOVERED_CF01,AMT_ANNUITY,Annuity amount,32688.0,66886.8,34198.8,1.0462187958883995,True,True,False,False
XAI_009,XAI_009_RECOVERED_CF01,AMT_GOODS_PRICE,Goods price,850500.0,1335679.5,485179.5,0.5704638447971782,True,True,False,False
XAI_017,XAI_017_RECOVERED_CF01,AMT_CREDIT,Requested credit amount,573628.5,573628.5,0.0,0.0,False,False,False,False
XAI_017,XAI_017_RECOVERED_CF01,AMT_ANNUITY,Annuity amount,24435.0,29416.5,4981.5,0.20386740331491712,True,True,False,False
XAI_017,XAI_017_RECOVERED_CF01,AMT_GOODS_PRICE,Goods price,463500.0,463500.0,0.0,0.0,False,False,False,False
