case_id,first_pass_status,first_pass_elapsed_seconds,retry_timeout_seconds,retry_elapsed_seconds,original_probability,original_class,desired_class,counterfactuals_requested,counterfactuals_found,retry_status,exception_class,error_message
XAI_008,timeout,30.161797699984163,90,42.76934710005298,0.50002277,1,0,1,0,no_counterfactual_returned,UserConfigValidationException,No counterfactuals found for any of the query points! Kindly check your configuration.
XAI_010,timeout,30.099692499963567,90,35.09907310002018,0.50004005,1,0,1,0,no_counterfactual_returned,UserConfigValidationException,No counterfactuals found for any of the query points! Kindly check your configuration.
XAI_011,timeout,30.10896129999309,90,33.02794179995544,0.010518629,0,1,1,0,no_counterfactual_returned,UserConfigValidationException,No counterfactuals found for any of the query points! Kindly check your configuration.
XAI_012,timeout,30.118562899995595,90,33.00141999998596,0.021245534,0,1,1,0,no_counterfactual_returned,UserConfigValidationException,No counterfactuals found for any of the query points! Kindly check your configuration.
XAI_013,timeout,30.13202620006632,90,27.932550700032152,0.023586474,0,1,1,0,no_counterfactual_returned,UserConfigValidationException,No counterfactuals found for any of the query points! Kindly check your configuration.
XAI_015,timeout,30.125432000029832,90,90.09124039998278,0.02833911,0,1,1,0,timeout,ProcessTimeoutError,Counterfactual search timed out within the allocated computational budget.
XAI_016,timeout,30.126344899996184,90,38.400894699967466,0.4999863,0,1,1,0,no_counterfactual_returned,UserConfigValidationException,No counterfactuals found for any of the query points! Kindly check your configuration.
XAI_018,timeout,30.091003000037745,90,41.19592550001107,0.49997318,0,1,1,0,no_counterfactual_returned,UserConfigValidationException,No counterfactuals found for any of the query points! Kindly check your configuration.
XAI_019,timeout,30.08456800004933,90,34.095347599941306,0.49996042,0,1,1,0,no_counterfactual_returned,UserConfigValidationException,No counterfactuals found for any of the query points! Kindly check your configuration.
XAI_020,timeout,30.09289139998145,90,37.04875640000682,0.4999467,0,1,1,0,no_counterfactual_returned,UserConfigValidationException,No counterfactuals found for any of the query points! Kindly check your configuration.
