feature,dtype,missing_count,missing_percentage,unique_values,feature_category,candidate_status,actionability,notes
SK_ID_CURR,int64,0,0.0,307511,Identifier,Exclude,Not applicable,Unique applicant identifier; should not be used as an explanatory credit-risk factor.
NAME_CONTRACT_TYPE,object,0,0.0,2,Loan/Application,Candidate,Review,Requires manual research review.
CODE_GENDER,object,0,0.0,3,Demographic,Review,Non-actionable,Potentially sensitive or immutable personal characteristic; flag for fairness and actionability review without drawing a legal conclusion.
FLAG_OWN_CAR,object,0,0.0,2,Document/Flag,Candidate,Review,Requires manual research review.
FLAG_OWN_REALTY,object,0,0.0,2,Document/Flag,Candidate,Review,Requires manual research review.
CNT_CHILDREN,int64,0,0.0,15,Demographic,Review,Non-actionable,Potentially sensitive or immutable personal characteristic; flag for fairness and actionability review without drawing a legal conclusion.
AMT_INCOME_TOTAL,float64,0,0.0,2548,Income,Strong candidate,Partially actionable,Human-readable financial or application characteristic proposed for explainability-focused modelling review.
AMT_CREDIT,float64,0,0.0,5603,Loan/Application,Strong candidate,Actionable,Human-readable financial or application characteristic proposed for explainability-focused modelling review.
AMT_ANNUITY,float64,12,0.003902299429939092,13672,Loan/Application,Strong candidate,Actionable,Human-readable financial or application characteristic proposed for explainability-focused modelling review.
AMT_GOODS_PRICE,float64,278,0.09040327012692229,1002,Loan/Application,Strong candidate,Actionable,Human-readable financial or application characteristic proposed for explainability-focused modelling review.
NAME_TYPE_SUITE,object,1292,0.42014757195677555,7,Family,Candidate,Review,Requires manual research review.
NAME_INCOME_TYPE,object,0,0.0,8,Employment,Strong candidate,Partially actionable,Human-readable financial or application characteristic proposed for explainability-focused modelling review.
NAME_EDUCATION_TYPE,object,0,0.0,5,Demographic,Review,Non-actionable,Potentially sensitive or immutable personal characteristic; flag for fairness and actionability review without drawing a legal conclusion.
NAME_FAMILY_STATUS,object,0,0.0,6,Demographic,Review,Non-actionable,Potentially sensitive or immutable personal characteristic; flag for fairness and actionability review without drawing a legal conclusion.
NAME_HOUSING_TYPE,object,0,0.0,6,Housing,Strong candidate,Partially actionable,Human-readable financial or application characteristic proposed for explainability-focused modelling review.
REGION_POPULATION_RELATIVE,float64,0,0.0,81,Geographic/Region,Candidate,Review,Requires manual research review.
DAYS_BIRTH,int64,0,0.0,17460,Demographic,Review,Non-actionable,Potentially sensitive or immutable personal characteristic; flag for fairness and actionability review without drawing a legal conclusion.
DAYS_EMPLOYED,int64,0,0.0,12574,Employment,Strong candidate,Partially actionable,Human-readable financial or application characteristic proposed for explainability-focused modelling review.
DAYS_REGISTRATION,float64,0,0.0,15688,Employment,Candidate,Review,Requires manual research review.
DAYS_ID_PUBLISH,int64,0,0.0,6168,Other,Candidate,Review,Requires manual research review.
OWN_CAR_AGE,float64,202929,65.9908100848425,62,Housing,Review/Exclude,Review,More than 60% missing; retain for manual review rather than automatic removal.
FLAG_MOBIL,int64,0,0.0,2,Document/Flag,Candidate,Review,Requires manual research review.
FLAG_EMP_PHONE,int64,0,0.0,2,Document/Flag,Candidate,Review,Requires manual research review.
