raw_feature,display_feature,cramers_v_with_TARGET,minimum_category_bad_rate,maximum_category_bad_rate,bad_rate_range,smallest_category_count
Attribute1,Checking account status,0.3476189010590424,0.116751269035533,0.4927007299270073,0.3759494608914743,63
Attribute3,Credit history,0.24030230119487,0.17064846416382254,0.625,0.4543515358361775,40
Attribute6,Savings account status,0.1792402952214944,0.125,0.3598673300165838,0.23486733001658378,48
Attribute4,Credit purpose,0.15611481058093812,0.1111111111111111,0.44,0.3288888888888889,9
Attribute12,Property,0.14400453584964393,0.2127659574468085,0.43506493506493504,0.22229897761812653,154
Attribute15,Housing,0.12733448032933792,0.2608695652173913,0.4074074074074074,0.1465378421900161,108
Attribute7,Employment duration,0.11991106245316734,0.22413793103448276,0.4069767441860465,0.18283881315156375,62
Attribute14,Other installment plans,0.10415394681626367,0.2751842751842752,0.41007194244604317,0.13488766726176799,47
Attribute10,Other debtors or guarantors,0.06817636837744626,0.19230769230769232,0.43902439024390244,0.24671669793621012,41
Attribute19,Registered telephone,0.018141429550818596,0.27970297029702973,0.313758389261745,0.034055418964715256,404
Attribute17,Job,0.0,0.28,0.34459459459459457,0.06459459459459455,22
