model,aggregation,fold,roc_auc,pr_auc,balanced_accuracy,precision_positive,recall_positive,f1_positive,uci_cost,false_positive,false_negative,fit_time_seconds
Baseline XGBoost,fold_1,1.0,0.8206845238095237,0.7099419872215403,0.6934523809523809,0.7333333333333333,0.4583333333333333,0.5641025641025641,138.0,8.0,26.0,0.05992529995273799
Baseline XGBoost,fold_2,2.0,0.8247767857142857,0.6326625931534715,0.6860119047619048,0.6571428571428571,0.4791666666666667,0.5542168674698795,137.0,12.0,25.0,0.09513649996370077
Baseline XGBoost,fold_3,3.0,0.8095238095238094,0.631696856445888,0.6726190476190477,0.6052631578947368,0.4791666666666667,0.5348837209302325,140.0,15.0,25.0,0.06749479996506125
Baseline XGBoost,fold_4,4.0,0.7092633928571429,0.5293525207195602,0.5952380952380952,0.5,0.3333333333333333,0.4,176.0,16.0,32.0,0.06353949999902397
Baseline XGBoost,fold_5,5.0,0.8028273809523809,0.6511235612543862,0.6845238095238095,0.5952380952380952,0.5208333333333334,0.5555555555555556,132.0,17.0,23.0,0.05868250003550202
CV-selected XGBoost,fold_1,1.0,0.8376116071428571,0.7020119787209634,0.7038690476190477,0.7419354838709677,0.4791666666666667,0.5822784810126582,133.0,8.0,25.0,0.0733291000360623
CV-selected XGBoost,fold_2,2.0,0.8134300595238095,0.6132641653880209,0.6443452380952381,0.6129032258064516,0.3958333333333333,0.4810126582278481,157.0,12.0,29.0,0.07561920001171529
CV-selected XGBoost,fold_3,3.0,0.8136160714285714,0.6276920838258583,0.7083333333333333,0.65,0.5416666666666666,0.5909090909090909,124.0,14.0,22.0,0.0681144999107346
CV-selected XGBoost,fold_4,4.0,0.7154017857142857,0.521711879009477,0.6354166666666666,0.5757575757575758,0.3958333333333333,0.4691358024691358,159.0,14.0,29.0,0.06679009995423257
CV-selected XGBoost,fold_5,5.0,0.8126860119047619,0.6950740933914193,0.6994047619047619,0.6190476190476191,0.5416666666666666,0.5777777777777777,126.0,16.0,22.0,0.064430300029926
Weighted XGBoost,fold_1,1.0,0.8441220238095238,0.7236976355920599,0.7797619047619048,0.6481481481481481,0.7291666666666666,0.6862745098039216,84.0,19.0,13.0,0.06573419994674623
Weighted XGBoost,fold_2,2.0,0.8113839285714286,0.5993642835648245,0.7514880952380952,0.5964912280701754,0.7083333333333334,0.6476190476190476,93.0,23.0,14.0,0.06545890006236732
Weighted XGBoost,fold_3,3.0,0.8117559523809523,0.6163737115657634,0.7678571428571428,0.6,0.75,0.6666666666666666,84.0,24.0,12.0,0.07120300002861768
Weighted XGBoost,fold_4,4.0,0.7144717261904762,0.5185977029756001,0.625,0.46153846153846156,0.5,0.48,148.0,28.0,24.0,0.07346410001628101
Weighted XGBoost,fold_5,5.0,0.8125,0.687197153969693,0.7291666666666667,0.5483870967741935,0.7083333333333334,0.6181818181818182,98.0,28.0,14.0,0.06195150001440197
Baseline XGBoost,mean,,0.7934151785714285,0.6309555037589692,0.6663690476190476,0.6181954887218045,0.4541666666666667,0.5217517416116463,144.6,13.6,26.2,0.0689557199832052
Baseline XGBoost,std,,0.04784550181579349,0.06513878459381002,0.04045867968563436,0.08578764686580252,0.07126096406869614,0.06889522818398863,17.79887636902959,3.646916505762094,3.420526275297414,0.015033217392029936
CV-selected XGBoost,mean,,0.7985491071428571,0.6319508400671479,0.6782738095238094,0.6399287808965228,0.4708333333333333,0.5402227620793021,139.8,12.8,25.4,0.06965663998853415
CV-selected XGBoost,std,,0.04766462052664035,0.07316601945245867,0.03533090356329199,0.06283140938857389,0.07306532465312575,0.059806686194089256,16.9617216107328,3.03315017762062,3.507135583350036,0.004662321363373666
Weighted XGBoost,mean,,0.7988467261904763,0.6290460975335883,0.7306547619047619,0.5709129869061957,0.6791666666666667,0.6197484084542908,101.4,24.4,15.4,0.06756234001368285
Weighted XGBoost,std,,0.04919155072161531,0.0799701605733354,0.06203768924308282,0.07059704917609587,0.1016359243137539,0.08206078465458654,26.735743864721627,3.7815340802378077,4.878524367060187,0.0046726132330654185
