case_id,counterfactual_id,feature,display_feature,original_value,counterfactual_value,absolute_change,relative_change,changed,directly_actionable_change,at_lower_boundary,at_upper_boundary
GER_XAI_003,GER_XAI_003_CF_001,Attribute2,Credit duration (months),45.0,6.0,39.0,0.8666666666666667,True,True,False,False
GER_XAI_003,GER_XAI_003_CF_001,Attribute5,Credit amount (DM),1845.0,276.0,1569.0,0.8504065040650407,True,True,True,False
GER_XAI_003,GER_XAI_003_CF_001,Attribute8,Installment rate (% disposable income),4.0,4.0,0.0,0.0,False,False,False,True
GER_XAI_004,GER_XAI_004_CF_001,Attribute2,Credit duration (months),18.0,6.0,12.0,0.6666666666666666,True,True,False,False
GER_XAI_004,GER_XAI_004_CF_001,Attribute5,Credit amount (DM),1216.0,1203.0,13.0,0.01069078947368421,True,True,False,False
GER_XAI_004,GER_XAI_004_CF_001,Attribute8,Installment rate (% disposable income),4.0,4.0,0.0,0.0,False,False,False,True
GER_XAI_005,GER_XAI_005_CF_001,Attribute2,Credit duration (months),36.0,4.0,32.0,0.8888888888888888,True,True,True,False
GER_XAI_005,GER_XAI_005_CF_001,Attribute5,Credit amount (DM),4795.0,276.0,4519.0,0.9424400417101148,True,True,True,False
GER_XAI_005,GER_XAI_005_CF_001,Attribute8,Installment rate (% disposable income),4.0,4.0,0.0,0.0,False,False,False,True
GER_XAI_006,GER_XAI_006_CF_001,Attribute2,Credit duration (months),48.0,30.0,18.0,0.375,True,True,False,False
GER_XAI_006,GER_XAI_006_CF_001,Attribute5,Credit amount (DM),3060.0,3017.0,43.0,0.014052287581699347,True,True,False,False
GER_XAI_006,GER_XAI_006_CF_001,Attribute8,Installment rate (% disposable income),4.0,4.0,0.0,0.0,False,False,False,True
GER_XAI_007,GER_XAI_007_CF_001,Attribute2,Credit duration (months),36.0,36.0,0.0,0.0,False,False,False,False
GER_XAI_007,GER_XAI_007_CF_001,Attribute5,Credit amount (DM),8086.0,7678.0,408.0,0.0504575810042048,True,True,False,False
GER_XAI_007,GER_XAI_007_CF_001,Attribute8,Installment rate (% disposable income),2.0,2.0,0.0,0.0,False,False,False,False
GER_XAI_008,GER_XAI_008_CF_001,Attribute2,Credit duration (months),15.0,6.0,9.0,0.6,True,True,False,False
GER_XAI_008,GER_XAI_008_CF_001,Attribute5,Credit amount (DM),1845.0,1817.0,28.0,0.015176151761517615,True,True,False,False
GER_XAI_008,GER_XAI_008_CF_001,Attribute8,Installment rate (% disposable income),4.0,4.0,0.0,0.0,False,False,False,True
GER_XAI_009,GER_XAI_009_CF_001,Attribute2,Credit duration (months),18.0,12.0,6.0,0.3333333333333333,True,True,False,False
GER_XAI_009,GER_XAI_009_CF_001,Attribute5,Credit amount (DM),1936.0,1934.0,2.0,0.0010330578512396695,True,True,False,False
GER_XAI_009,GER_XAI_009_CF_001,Attribute8,Installment rate (% disposable income),2.0,2.0,0.0,0.0,False,False,False,False
GER_XAI_010,GER_XAI_010_CF_001,Attribute2,Credit duration (months),72.0,24.0,48.0,0.6666666666666666,True,True,False,False
GER_XAI_010,GER_XAI_010_CF_001,Attribute5,Credit amount (DM),5595.0,5433.0,162.0,0.028954423592493297,True,True,False,False
GER_XAI_010,GER_XAI_010_CF_001,Attribute8,Installment rate (% disposable income),2.0,2.0,0.0,0.0,False,False,False,False
GER_XAI_016,GER_XAI_016_CF_001,Attribute2,Credit duration (months),42.0,45.0,3.0,0.07142857142857142,True,True,False,False
GER_XAI_016,GER_XAI_016_CF_001,Attribute5,Credit amount (DM),4796.0,4746.0,50.0,0.010425354462051709,True,True,False,False
GER_XAI_016,GER_XAI_016_CF_001,Attribute8,Installment rate (% disposable income),4.0,4.0,0.0,0.0,False,False,False,True
GER_XAI_017,GER_XAI_017_CF_001,Attribute2,Credit duration (months),10.0,15.0,5.0,0.5,True,True,False,False
GER_XAI_017,GER_XAI_017_CF_001,Attribute5,Credit amount (DM),1287.0,1308.0,21.0,0.016317016317016316,True,True,False,False
GER_XAI_017,GER_XAI_017_CF_001,Attribute8,Installment rate (% disposable income),4.0,4.0,0.0,0.0,False,False,False,True
GER_XAI_019,GER_XAI_019_CF_001,Attribute2,Credit duration (months),12.0,24.0,12.0,1.0,True,True,False,False
GER_XAI_019,GER_XAI_019_CF_001,Attribute5,Credit amount (DM),7472.0,276.0,7196.0,0.9630620985010707,True,True,True,False
GER_XAI_019,GER_XAI_019_CF_001,Attribute8,Installment rate (% disposable income),1.0,1.0,0.0,0.0,False,False,True,False
GER_XAI_020,GER_XAI_020_CF_001,Attribute2,Credit duration (months),12.0,18.0,6.0,0.5,True,True,False,False
GER_XAI_020,GER_XAI_020_CF_001,Attribute5,Credit amount (DM),2748.0,2864.0,116.0,0.042212518195050945,True,True,False,False
GER_XAI_020,GER_XAI_020_CF_001,Attribute8,Installment rate (% disposable income),2.0,2.0,0.0,0.0,False,False,False,False
