case_id,row_index,predicted_probability,lime_local_prediction,local_fidelity_r2,absolute_local_prediction_error
GER_XAI_001,11,0.9466822,0.8366082379910508,0.28247386270793895,0.11007396200894926
GER_XAI_002,832,0.9256946,0.7321638209689645,0.2781820614975459,0.19353077903103555
GER_XAI_003,998,0.90678245,0.6872788955032149,0.2605113764603666,0.21950355449678516
GER_XAI_004,831,0.9063597,0.6618066331818254,0.22784614119448288,0.24455306681817457
GER_XAI_005,141,0.9055074,0.7818311677603936,0.20736587357976166,0.12367623223960633
GER_XAI_006,273,0.5018516,0.46859849224021166,0.19206706457441214,0.03325310775978829
GER_XAI_007,653,0.5034409,0.6833241713711234,0.17493893399821348,0.17988327137112348
GER_XAI_008,944,0.5135554,0.6583342450538682,0.22507452344865586,0.14477884505386818
GER_XAI_009,992,0.51524305,0.38028073660628764,0.20597670234445042,0.1349623133937124
GER_XAI_010,677,0.5176819,0.6687182034531891,0.18271117547481242,0.15103630345318908
GER_XAI_011,817,0.011951139,0.028234200648930563,0.5158710590274549,0.016283061648930564
GER_XAI_012,234,0.012772601,-0.032666484087329084,0.5162395864281086,0.045439085087329086
GER_XAI_013,159,0.014923423,-0.08705048664359416,0.5023321488554422,0.10197390964359417
GER_XAI_014,523,0.020744441,0.009423687287353877,0.3566836979342606,0.011320753712646122
GER_XAI_015,860,0.024179073,0.06155222967458851,0.4066488438348873,0.037373156674588515
GER_XAI_016,293,0.48432785,0.38459453764526685,0.23025677832716895,0.09973331235473315
GER_XAI_017,297,0.48025113,0.04067943616276326,0.4625781769771018,0.43957169383723677
GER_XAI_018,579,0.47793216,0.3660666074783521,0.3567154064098128,0.11186555252164787
GER_XAI_019,804,0.4572692,0.4338257854721557,0.28746249107059807,0.023443414527844264
GER_XAI_020,263,0.45461446,-0.020420109256400254,0.5185582804521018,0.47503456925640025
