case_id,number_of_reported_features,absolute_weight_sum,features_for_50_percent,features_for_80_percent
GER_XAI_001,5,0.6480752244537198,2,4
GER_XAI_002,5,0.6412844637083899,2,4
GER_XAI_003,5,0.6079427946024429,2,4
GER_XAI_004,5,0.5664413570871532,2,4
GER_XAI_005,5,0.5720560700473543,3,4
GER_XAI_006,5,0.5622113033610712,3,4
GER_XAI_007,5,0.5266273602908345,3,4
GER_XAI_008,5,0.5603252858795011,2,4
GER_XAI_009,5,0.5496573162019369,2,4
GER_XAI_010,5,0.5299508315668939,3,4
GER_XAI_011,5,0.7671980223080386,2,4
GER_XAI_012,5,0.7635320905340057,2,4
GER_XAI_013,5,0.7695551153461668,2,4
GER_XAI_014,5,0.6897871320122202,2,4
GER_XAI_015,5,0.7454603341180727,2,4
GER_XAI_016,5,0.629081248071799,3,4
GER_XAI_017,5,0.7151628260385495,2,4
GER_XAI_018,5,0.6272555624807375,2,4
GER_XAI_019,5,0.5986287403812242,2,4
GER_XAI_020,5,0.7640276913756601,2,4
