case_id,row_index,true_target,predicted_class,predicted_probability,lime_local_prediction,lime_intercept,local_fidelity_r2,feature_rule,original_feature,display_feature,display_rule,display_value,lime_weight,direction,rank
GER_XAI_001,11,1,1,0.9466822,0.8366082379910508,0.18853301353733096,0.28247386270793895,Attribute1=< 0 DM,Attribute1,Checking account status,Checking account status=< 0 DM,< 0 DM,0.19008232967258348,increases local higher-risk prediction,1
GER_XAI_001,11,1,1,0.9466822,0.8366082379910508,0.18853301353733096,0.28247386270793895,Attribute2 > 24.00,Attribute2,Credit duration (months),Credit duration (months) > 24.00,48,0.1427918990506878,increases local higher-risk prediction,2
GER_XAI_001,11,1,1,0.9466822,0.8366082379910508,0.18853301353733096,0.28247386270793895,Attribute5 > 3933.00,Attribute5,Credit amount (DM),Credit amount (DM) > 3933.00,4308,0.11278772100364115,increases local higher-risk prediction,3
GER_XAI_001,11,1,1,0.9466822,0.8366082379910508,0.18853301353733096,0.28247386270793895,Attribute7=< 1 year,Attribute7,Employment duration,Employment duration=< 1 year,< 1 year,0.1035269786194608,increases local higher-risk prediction,4
GER_XAI_001,11,1,1,0.9466822,0.8366082379910508,0.18853301353733096,0.28247386270793895,Attribute6=< 100 DM,Attribute6,Savings account status,Savings account status=< 100 DM,< 100 DM,0.09888629610734662,increases local higher-risk prediction,5
GER_XAI_002,832,1,1,0.9256946,0.7321638209689645,0.2877908331484614,0.2781820614975459,Attribute1=< 0 DM,Attribute1,Checking account status,Checking account status=< 0 DM,< 0 DM,0.18867416661890632,increases local higher-risk prediction,1
GER_XAI_002,832,1,1,0.9256946,0.7321638209689645,0.2877908331484614,0.2781820614975459,Attribute2 > 24.00,Attribute2,Credit duration (months),Credit duration (months) > 24.00,45,0.14274611327444753,increases local higher-risk prediction,2
GER_XAI_002,832,1,1,0.9256946,0.7321638209689645,0.2877908331484614,0.2781820614975459,Attribute5 > 3933.00,Attribute5,Credit amount (DM),Credit amount (DM) > 3933.00,11816,0.1125280645360944,increases local higher-risk prediction,3
GER_XAI_002,832,1,1,0.9256946,0.7321638209689645,0.2877908331484614,0.2781820614975459,Attribute6=< 100 DM,Attribute6,Savings account status,Savings account status=< 100 DM,< 100 DM,0.09888038133499817,increases local higher-risk prediction,4
GER_XAI_002,832,1,1,0.9256946,0.7321638209689645,0.2877908331484614,0.2781820614975459,Attribute14=None,Attribute14,Other installment plans,Other installment plans=None,None,-0.09845573794394333,decreases local higher-risk prediction,5
GER_XAI_003,998,1,1,0.90678245,0.6872788955032149,0.2739147422998968,0.2605113764603666,Attribute1=< 0 DM,Attribute1,Checking account status,Checking account status=< 0 DM,< 0 DM,0.19202794409470317,increases local higher-risk prediction,1
GER_XAI_003,998,1,1,0.90678245,0.6872788955032149,0.2739147422998968,0.2605113764603666,Attribute2 > 24.00,Attribute2,Credit duration (months),Credit duration (months) > 24.00,45,0.14430445680582668,increases local higher-risk prediction,2
GER_XAI_003,998,1,1,0.90678245,0.6872788955032149,0.2739147422998968,0.2605113764603666,Attribute6=< 100 DM,Attribute6,Savings account status,Savings account status=< 100 DM,< 100 DM,0.1018695137010475,increases local higher-risk prediction,3
GER_XAI_003,998,1,1,0.90678245,0.6872788955032149,0.2739147422998968,0.2605113764603666,Attribute14=None,Attribute14,Other installment plans,Other installment plans=None,None,-0.09728932069956246,decreases local higher-risk prediction,4
GER_XAI_003,998,1,1,0.90678245,0.6872788955032149,0.2739147422998968,0.2605113764603666,Attribute3=Existing credits paid duly to date,Attribute3,Credit history,Credit history=Existing credits paid duly to date,Existing credits paid duly to date,0.07245155930130315,increases local higher-risk prediction,5
GER_XAI_004,831,1,1,0.9063597,0.6618066331818254,0.28820502419786254,0.22784614119448288,Attribute1=< 0 DM,Attribute1,Checking account status,Checking account status=< 0 DM,< 0 DM,0.19409859284854622,increases local higher-risk prediction,1
GER_XAI_004,831,1,1,0.9063597,0.6618066331818254,0.28820502419786254,0.22784614119448288,Attribute7=< 1 year,Attribute7,Employment duration,Employment duration=< 1 year,< 1 year,0.10350553625248506,increases local higher-risk prediction,2
GER_XAI_004,831,1,1,0.9063597,0.6618066331818254,0.28820502419786254,0.22784614119448288,Attribute6=< 100 DM,Attribute6,Savings account status,Savings account status=< 100 DM,< 100 DM,0.09865232315870076,increases local higher-risk prediction,3
GER_XAI_004,831,1,1,0.9063597,0.6618066331818254,0.28820502419786254,0.22784614119448288,Attribute14=None,Attribute14,Other installment plans,Other installment plans=None,None,-0.09641987405159515,decreases local higher-risk prediction,4
GER_XAI_004,831,1,1,0.9063597,0.6618066331818254,0.28820502419786254,0.22784614119448288,Attribute3=Existing credits paid duly to date,Attribute3,Credit history,Credit history=Existing credits paid duly to date,Existing credits paid duly to date,0.073765030775826,increases local higher-risk prediction,5
GER_XAI_005,141,0,1,0.9055074,0.7818311677603936,0.20977509771303937,0.20736587357976166,Attribute2 > 24.00,Attribute2,Credit duration (months),Credit duration (months) > 24.00,36,0.14431912320895837,increases local higher-risk prediction,1
GER_XAI_005,141,0,1,0.9055074,0.7818311677603936,0.20977509771303937,0.20736587357976166,Attribute5 > 3933.00,Attribute5,Credit amount (DM),Credit amount (DM) > 3933.00,4795,0.11624429074562291,increases local higher-risk prediction,2
GER_XAI_005,141,0,1,0.9055074,0.7818311677603936,0.20977509771303937,0.20736587357976166,Attribute1=0 to < 200 DM,Attribute1,Checking account status,Checking account status=0 to < 200 DM,0 to < 200 DM,0.11045149771429554,increases local higher-risk prediction,3
GER_XAI_005,141,0,1,0.9055074,0.7818311677603936,0.20977509771303937,0.20736587357976166,Attribute6=< 100 DM,Attribute6,Savings account status,Savings account status=< 100 DM,< 100 DM,0.10121084642506249,increases local higher-risk prediction,4
GER_XAI_005,141,0,1,0.9055074,0.7818311677603936,0.20977509771303937,0.20736587357976166,Attribute7=< 1 year,Attribute7,Employment duration,Employment duration=< 1 year,< 1 year,0.099830311953415,increases local higher-risk prediction,5
GER_XAI_006,273,1,1,0.5018516,0.46859849224021166,0.29795171146226646,0.19206706457441214,Attribute2 > 24.00,Attribute2,Credit duration (months),Credit duration (months) > 24.00,48,0.1484346950569333,increases local higher-risk prediction,1
GER_XAI_006,273,1,1,0.5018516,0.46859849224021166,0.29795171146226646,0.19206706457441214,Attribute1=0 to < 200 DM,Attribute1,Checking account status,Checking account status=0 to < 200 DM,0 to < 200 DM,0.11642215657183981,increases local higher-risk prediction,2
GER_XAI_006,273,1,1,0.5018516,0.46859849224021166,0.29795171146226646,0.19206706457441214,Attribute6=< 100 DM,Attribute6,Savings account status,Savings account status=< 100 DM,< 100 DM,0.1015721904407351,increases local higher-risk prediction,3
GER_XAI_006,273,1,1,0.5018516,0.46859849224021166,0.29795171146226646,0.19206706457441214,Attribute7=4 to < 7 years,Attribute7,Employment duration,Employment duration=4 to < 7 years,4 to < 7 years,-0.09856619526513187,decreases local higher-risk prediction,4
GER_XAI_006,273,1,1,0.5018516,0.46859849224021166,0.29795171146226646,0.19206706457441214,2317.00 < Attribute5 <= 3933.00,Attribute5,Credit amount (DM),2317.00 < Credit amount (DM) <= 3933.00,3060,-0.09721606602643111,decreases local higher-risk prediction,5
GER_XAI_007,653,1,1,0.5034409,0.6833241713711234,0.35575162307816244,0.17493893399821348,Attribute2 > 24.00,Attribute2,Credit duration (months),Credit duration (months) > 24.00,36,0.14064718271430368,increases local higher-risk prediction,1
GER_XAI_007,653,1,1,0.5034409,0.6833241713711234,0.35575162307816244,0.17493893399821348,Attribute5 > 3933.00,Attribute5,Credit amount (DM),Credit amount (DM) > 3933.00,8086,0.11687041093107925,increases local higher-risk prediction,2
GER_XAI_007,653,1,1,0.5034409,0.6833241713711234,0.35575162307816244,0.17493893399821348,Attribute1=0 to < 200 DM,Attribute1,Checking account status,Checking account status=0 to < 200 DM,0 to < 200 DM,0.10785753836743556,increases local higher-risk prediction,3
GER_XAI_007,653,1,1,0.5034409,0.6833241713711234,0.35575162307816244,0.17493893399821348,Attribute14=None,Attribute14,Other installment plans,Other installment plans=None,None,-0.09952740599893672,decreases local higher-risk prediction,4
