case_id,row_index,true_target,predicted_class,predicted_probability,original_feature,display_feature,display_value,shap_value,direction,rank
GER_XAI_001,11,1,1,0.9466822,Attribute1,Checking account status,< 0 DM,0.705203652381897,increases higher-risk model output,1
GER_XAI_001,11,1,1,0.9466822,Attribute2,Credit duration (months),48,0.597124457359314,increases higher-risk model output,2
GER_XAI_001,11,1,1,0.9466822,Attribute15,Housing,Rent,0.3380677103996277,increases higher-risk model output,3
GER_XAI_001,11,1,1,0.9466822,Attribute7,Employment duration,< 1 year,0.32426851987838745,increases higher-risk model output,4
GER_XAI_001,11,1,1,0.9466822,Attribute5,Credit amount (DM),4308,0.3235289454460144,increases higher-risk model output,5
GER_XAI_001,11,1,1,0.9466822,Attribute6,Savings account status,< 100 DM,0.2593514323234558,increases higher-risk model output,6
GER_XAI_001,11,1,1,0.9466822,Attribute3,Credit history,Existing credits paid duly to date,0.16020995378494263,increases higher-risk model output,7
GER_XAI_001,11,1,1,0.9466822,Attribute8,Installment rate (% disposable income),3,0.12810514867305756,increases higher-risk model output,8
GER_XAI_001,11,1,1,0.9466822,Attribute12,Property,Building society savings or life insurance,-0.08088882267475128,decreases higher-risk model output,9
GER_XAI_001,11,1,1,0.9466822,Attribute14,Other installment plans,None,-0.06217549741268158,decreases higher-risk model output,10
GER_XAI_001,11,1,1,0.9466822,Attribute4,Credit purpose,Business,0.049644842743873596,increases higher-risk model output,11
GER_XAI_001,11,1,1,0.9466822,Attribute19,Registered telephone,None,0.04317254573106766,increases higher-risk model output,12
GER_XAI_001,11,1,1,0.9466822,Attribute11,Residence duration,4,0.03339168429374695,increases higher-risk model output,13
GER_XAI_001,11,1,1,0.9466822,Attribute16,Existing credits at bank,1,-0.02976263500750065,decreases higher-risk model output,14
GER_XAI_001,11,1,1,0.9466822,Attribute10,Other debtors or guarantors,None,0.02510000392794609,increases higher-risk model output,15
GER_XAI_001,11,1,1,0.9466822,Attribute18,Dependants,1,0.023708539083600044,increases higher-risk model output,16
GER_XAI_001,11,1,1,0.9466822,Attribute17,Job,Skilled employee or official,0.004322713706642389,increases higher-risk model output,17
GER_XAI_002,832,1,1,0.9256946,Attribute1,Checking account status,< 0 DM,0.7113206386566162,increases higher-risk model output,1
GER_XAI_002,832,1,1,0.9256946,Attribute5,Credit amount (DM),11816,0.4365296959877014,increases higher-risk model output,2
GER_XAI_002,832,1,1,0.9256946,Attribute2,Credit duration (months),45,0.4109317362308502,increases higher-risk model output,3
GER_XAI_002,832,1,1,0.9256946,Attribute15,Housing,Rent,0.4056885838508606,increases higher-risk model output,4
GER_XAI_002,832,1,1,0.9256946,Attribute6,Savings account status,< 100 DM,0.2900281548500061,increases higher-risk model output,5
GER_XAI_002,832,1,1,0.9256946,Attribute8,Installment rate (% disposable income),2,-0.2261163592338562,decreases higher-risk model output,6
GER_XAI_002,832,1,1,0.9256946,Attribute3,Credit history,No credits taken or all credits paid duly,0.2159026861190796,increases higher-risk model output,7
GER_XAI_002,832,1,1,0.9256946,Attribute16,Existing credits at bank,2,0.11279922723770142,increases higher-risk model output,8
GER_XAI_002,832,1,1,0.9256946,Attribute4,Credit purpose,Business,0.07560770213603973,increases higher-risk model output,9
GER_XAI_002,832,1,1,0.9256946,Attribute14,Other installment plans,None,-0.06075478345155716,decreases higher-risk model output,10
GER_XAI_002,832,1,1,0.9256946,Attribute12,Property,Car or other property,0.0391085110604763,increases higher-risk model output,11
GER_XAI_002,832,1,1,0.9256946,Attribute7,Employment duration,>= 7 years,-0.03103933110833168,decreases higher-risk model output,12
GER_XAI_002,832,1,1,0.9256946,Attribute10,Other debtors or guarantors,None,0.028473401442170143,increases higher-risk model output,13
GER_XAI_002,832,1,1,0.9256946,Attribute19,Registered telephone,None,0.02229904569685459,increases higher-risk model output,14
GER_XAI_002,832,1,1,0.9256946,Attribute11,Residence duration,4,0.02008117362856865,increases higher-risk model output,15
GER_XAI_002,832,1,1,0.9256946,Attribute17,Job,Skilled employee or official,0.01878364384174347,increases higher-risk model output,16
GER_XAI_002,832,1,1,0.9256946,Attribute18,Dependants,1,0.018396737053990364,increases higher-risk model output,17
GER_XAI_003,998,1,1,0.90678245,Attribute1,Checking account status,< 0 DM,0.9515525102615356,increases higher-risk model output,1
GER_XAI_003,998,1,1,0.90678245,Attribute2,Credit duration (months),45,0.7273722290992737,increases higher-risk model output,2
GER_XAI_003,998,1,1,0.90678245,Attribute12,Property,Unknown or no property,0.3799835741519928,increases higher-risk model output,3
GER_XAI_003,998,1,1,0.90678245,Attribute6,Savings account status,< 100 DM,0.27857524156570435,increases higher-risk model output,4
GER_XAI_003,998,1,1,0.90678245,Attribute3,Credit history,Existing credits paid duly to date,0.18507495522499084,increases higher-risk model output,5
GER_XAI_003,998,1,1,0.90678245,Attribute8,Installment rate (% disposable income),4,0.17360875010490417,increases higher-risk model output,6
GER_XAI_003,998,1,1,0.90678245,Attribute4,Credit purpose,Radio or television,-0.1567203402519226,decreases higher-risk model output,7
GER_XAI_003,998,1,1,0.90678245,Attribute19,Registered telephone,"Yes, registered in applicant's name",-0.12512332201004028,decreases higher-risk model output,8
GER_XAI_003,998,1,1,0.90678245,Attribute5,Credit amount (DM),1845,-0.08872127532958984,decreases higher-risk model output,9
GER_XAI_003,998,1,1,0.90678245,Attribute14,Other installment plans,None,-0.07628817111253738,decreases higher-risk model output,10
GER_XAI_003,998,1,1,0.90678245,Attribute16,Existing credits at bank,1,-0.04773526266217232,decreases higher-risk model output,11
GER_XAI_003,998,1,1,0.90678245,Attribute10,Other debtors or guarantors,None,0.028121333569288254,increases higher-risk model output,12
GER_XAI_003,998,1,1,0.90678245,Attribute18,Dependants,1,0.010785709135234356,increases higher-risk model output,13
GER_XAI_003,998,1,1,0.90678245,Attribute11,Residence duration,4,0.008678835816681385,increases higher-risk model output,14
GER_XAI_003,998,1,1,0.90678245,Attribute15,Housing,For free,-0.003621075302362442,decreases higher-risk model output,15
GER_XAI_003,998,1,1,0.90678245,Attribute17,Job,Skilled employee or official,-0.0024992311373353004,decreases higher-risk model output,16
GER_XAI_003,998,1,1,0.90678245,Attribute7,Employment duration,1 to < 4 years,-0.002398410812020302,decreases higher-risk model output,17
GER_XAI_004,831,1,1,0.9063597,Attribute1,Checking account status,< 0 DM,0.796061098575592,increases higher-risk model output,1
GER_XAI_004,831,1,1,0.9063597,Attribute15,Housing,Rent,0.2964092195034027,increases higher-risk model output,2
GER_XAI_004,831,1,1,0.9063597,Attribute19,Registered telephone,"Yes, registered in applicant's name",-0.25853389501571655,decreases higher-risk model output,3
GER_XAI_004,831,1,1,0.9063597,Attribute4,Credit purpose,New car,0.25703170895576477,increases higher-risk model output,4
GER_XAI_004,831,1,1,0.9063597,Attribute7,Employment duration,< 1 year,0.24684949219226837,increases higher-risk model output,5
GER_XAI_004,831,1,1,0.9063597,Attribute6,Savings account status,< 100 DM,0.22407305240631104,increases higher-risk model output,6
GER_XAI_004,831,1,1,0.9063597,Attribute2,Credit duration (months),18,0.2225475162267685,increases higher-risk model output,7
GER_XAI_004,831,1,1,0.9063597,Attribute3,Credit history,Existing credits paid duly to date,0.18190011382102966,increases higher-risk model output,8
GER_XAI_004,831,1,1,0.9063597,Attribute5,Credit amount (DM),1216,0.12236074358224869,increases higher-risk model output,9
GER_XAI_004,831,1,1,0.9063597,Attribute8,Installment rate (% disposable income),4,0.11116251349449158,increases higher-risk model output,10
GER_XAI_004,831,1,1,0.9063597,Attribute12,Property,Car or other property,0.10875295102596283,increases higher-risk model output,11
GER_XAI_004,831,1,1,0.9063597,Attribute14,Other installment plans,None,-0.0806180089712143,decreases higher-risk model output,12
GER_XAI_004,831,1,1,0.9063597,Attribute16,Existing credits at bank,1,-0.0353660061955452,decreases higher-risk model output,13
GER_XAI_004,831,1,1,0.9063597,Attribute11,Residence duration,3,0.02601579576730728,increases higher-risk model output,14
GER_XAI_004,831,1,1,0.9063597,Attribute10,Other debtors or guarantors,None,0.013681191951036453,increases higher-risk model output,15
GER_XAI_004,831,1,1,0.9063597,Attribute18,Dependants,1,0.007594147231429815,increases higher-risk model output,16
GER_XAI_004,831,1,1,0.9063597,Attribute17,Job,Skilled employee or official,-0.004266910254955292,decreases higher-risk model output,17
GER_XAI_005,141,0,1,0.9055074,Attribute2,Credit duration (months),36,0.5244861245155334,increases higher-risk model output,1
GER_XAI_005,141,0,1,0.9055074,Attribute12,Property,Unknown or no property,0.39622026681900024,increases higher-risk model output,2
GER_XAI_005,141,0,1,0.9055074,Attribute7,Employment duration,< 1 year,0.3590930700302124,increases higher-risk model output,3
GER_XAI_005,141,0,1,0.9055074,Attribute5,Credit amount (DM),4795,0.35387977957725525,increases higher-risk model output,4
GER_XAI_005,141,0,1,0.9055074,Attribute1,Checking account status,0 to < 200 DM,0.3333733379840851,increases higher-risk model output,5
GER_XAI_005,141,0,1,0.9055074,Attribute6,Savings account status,< 100 DM,0.2924152910709381,increases higher-risk model output,6
GER_XAI_005,141,0,1,0.9055074,Attribute11,Residence duration,1,-0.14140333235263824,decreases higher-risk model output,7
GER_XAI_005,141,0,1,0.9055074,Attribute8,Installment rate (% disposable income),4,0.13955183327198029,increases higher-risk model output,8
GER_XAI_005,141,0,1,0.9055074,Attribute3,Credit history,Existing credits paid duly to date,0.1280999332666397,increases higher-risk model output,9
GER_XAI_005,141,0,1,0.9055074,Attribute4,Credit purpose,Radio or television,-0.10990598052740097,decreases higher-risk model output,10
GER_XAI_005,141,0,1,0.9055074,Attribute17,Job,"Management, self-employed or highly qualified",0.09636729955673218,increases higher-risk model output,11
GER_XAI_005,141,0,1,0.9055074,Attribute19,Registered telephone,"Yes, registered in applicant's name",-0.05078303813934326,decreases higher-risk model output,12
GER_XAI_005,141,0,1,0.9055074,Attribute15,Housing,Own,-0.04969307780265808,decreases higher-risk model output,13
GER_XAI_005,141,0,1,0.9055074,Attribute14,Other installment plans,None,-0.04631631076335907,decreases higher-risk model output,14
GER_XAI_005,141,0,1,0.9055074,Attribute16,Existing credits at bank,1,-0.034277528524398804,decreases higher-risk model output,15
GER_XAI_005,141,0,1,0.9055074,Attribute10,Other debtors or guarantors,None,0.018831899389624596,increases higher-risk model output,16
GER_XAI_005,141,0,1,0.9055074,Attribute18,Dependants,1,0.01571427844464779,increases higher-risk model output,17
GER_XAI_006,273,1,1,0.5018516,Attribute2,Credit duration (months),48,0.761662483215332,increases higher-risk model output,1
GER_XAI_006,273,1,1,0.5018516,Attribute7,Employment duration,4 to < 7 years,-0.5168555378913879,decreases higher-risk model output,2
GER_XAI_006,273,1,1,0.5018516,Attribute5,Credit amount (DM),3060,-0.5153619647026062,decreases higher-risk model output,3
GER_XAI_006,273,1,1,0.5018516,Attribute1,Checking account status,0 to < 200 DM,0.3171025812625885,increases higher-risk model output,4
GER_XAI_006,273,1,1,0.5018516,Attribute6,Savings account status,< 100 DM,0.2592126727104187,increases higher-risk model output,5
GER_XAI_006,273,1,1,0.5018516,Attribute4,Credit purpose,Radio or television,-0.24082493782043457,decreases higher-risk model output,6
GER_XAI_006,273,1,1,0.5018516,Attribute12,Property,Real estate,-0.19558393955230713,decreases higher-risk model output,7
GER_XAI_006,273,1,1,0.5018516,Attribute3,Credit history,Existing credits paid duly to date,0.1240435466170311,increases higher-risk model output,8
GER_XAI_006,273,1,1,0.5018516,Attribute8,Installment rate (% disposable income),4,0.11041701585054398,increases higher-risk model output,9
GER_XAI_006,273,1,1,0.5018516,Attribute14,Other installment plans,None,-0.10162858664989471,decreases higher-risk model output,10
GER_XAI_006,273,1,1,0.5018516,Attribute15,Housing,Own,-0.08095381408929825,decreases higher-risk model output,11
GER_XAI_006,273,1,1,0.5018516,Attribute16,Existing credits at bank,2,0.056304141879081726,increases higher-risk model output,12
GER_XAI_006,273,1,1,0.5018516,Attribute19,Registered telephone,None,0.048978324979543686,increases higher-risk model output,13
GER_XAI_006,273,1,1,0.5018516,Attribute17,Job,Skilled employee or official,-0.04285925626754761,decreases higher-risk model output,14
GER_XAI_006,273,1,1,0.5018516,Attribute11,Residence duration,4,-0.025818198919296265,decreases higher-risk model output,15
GER_XAI_006,273,1,1,0.5018516,Attribute18,Dependants,1,0.012567070312798023,increases higher-risk model output,16
GER_XAI_006,273,1,1,0.5018516,Attribute10,Other debtors or guarantors,None,0.002683771774172783,increases higher-risk model output,17
GER_XAI_007,653,1,1,0.5034409,Attribute2,Credit duration (months),36,0.3988434374332428,increases higher-risk model output,1
GER_XAI_007,653,1,1,0.5034409,Attribute6,Savings account status,100 to < 500 DM,-0.31021010875701904,decreases higher-risk model output,2
GER_XAI_007,653,1,1,0.5034409,Attribute3,Credit history,Past payment delay,-0.23656818270683289,decreases higher-risk model output,3
GER_XAI_007,653,1,1,0.5034409,Attribute8,Installment rate (% disposable income),2,-0.21304841339588165,decreases higher-risk model output,4
GER_XAI_007,653,1,1,0.5034409,Attribute1,Checking account status,0 to < 200 DM,0.19226913154125214,increases higher-risk model output,5
GER_XAI_007,653,1,1,0.5034409,Attribute5,Credit amount (DM),8086,0.16328278183937073,increases higher-risk model output,6
GER_XAI_007,653,1,1,0.5034409,Attribute4,Credit purpose,New car,0.14166858792304993,increases higher-risk model output,7
GER_XAI_007,653,1,1,0.5034409,Attribute17,Job,"Management, self-employed or highly qualified",0.11958902329206467,increases higher-risk model output,8
GER_XAI_007,653,1,1,0.5034409,Attribute7,Employment duration,>= 7 years,-0.0980280339717865,decreases higher-risk model output,9
GER_XAI_007,653,1,1,0.5034409,Attribute19,Registered telephone,"Yes, registered in applicant's name",-0.09323685616254807,decreases higher-risk model output,10
GER_XAI_007,653,1,1,0.5034409,Attribute14,Other installment plans,None,-0.0917540118098259,decreases higher-risk model output,11
GER_XAI_007,653,1,1,0.5034409,Attribute15,Housing,Own,-0.08877779543399811,decreases higher-risk model output,12
GER_XAI_007,653,1,1,0.5034409,Attribute16,Existing credits at bank,4,0.0707474797964096,increases higher-risk model output,13
GER_XAI_007,653,1,1,0.5034409,Attribute11,Residence duration,4,-0.0241229347884655,decreases higher-risk model output,14
GER_XAI_007,653,1,1,0.5034409,Attribute18,Dependants,1,0.019697314128279686,increases higher-risk model output,15
GER_XAI_007,653,1,1,0.5034409,Attribute12,Property,Car or other property,0.01578601822257042,increases higher-risk model output,16
GER_XAI_007,653,1,1,0.5034409,Attribute10,Other debtors or guarantors,None,0.013305505737662315,increases higher-risk model output,17
GER_XAI_008,944,0,1,0.5135554,Attribute10,Other debtors or guarantors,Guarantor,-0.5416860580444336,decreases higher-risk model output,1
GER_XAI_008,944,0,1,0.5135554,Attribute2,Credit duration (months),15,-0.41306114196777344,decreases higher-risk model output,2
GER_XAI_008,944,0,1,0.5135554,Attribute15,Housing,Rent,0.39137956500053406,increases higher-risk model output,3
GER_XAI_008,944,0,1,0.5135554,Attribute1,Checking account status,< 0 DM,0.3743685185909271,increases higher-risk model output,4
GER_XAI_008,944,0,1,0.5135554,Attribute7,Employment duration,< 1 year,0.29825276136398315,increases higher-risk model output,5
GER_XAI_008,944,0,1,0.5135554,Attribute5,Credit amount (DM),1845,-0.16925381124019623,decreases higher-risk model output,6
GER_XAI_008,944,0,1,0.5135554,Attribute11,Residence duration,1,-0.15760032832622528,decreases higher-risk model output,7
GER_XAI_008,944,0,1,0.5135554,Attribute3,Credit history,Existing credits paid duly to date,0.1265479028224945,increases higher-risk model output,8
GER_XAI_008,944,0,1,0.5135554,Attribute6,Savings account status,< 100 DM,0.12601903080940247,increases higher-risk model output,9
GER_XAI_008,944,0,1,0.5135554,Attribute12,Property,Building society savings or life insurance,-0.08649458736181259,decreases higher-risk model output,10
GER_XAI_008,944,0,1,0.5135554,Attribute8,Installment rate (% disposable income),4,0.08038868010044098,increases higher-risk model output,11
GER_XAI_008,944,0,1,0.5135554,Attribute19,Registered telephone,None,0.07675602287054062,increases higher-risk model output,12
GER_XAI_008,944,0,1,0.5135554,Attribute14,Other installment plans,None,-0.0758582130074501,decreases higher-risk model output,13
GER_XAI_008,944,0,1,0.5135554,Attribute4,Credit purpose,Furniture or equipment,0.03148508071899414,increases higher-risk model output,14
GER_XAI_008,944,0,1,0.5135554,Attribute16,Existing credits at bank,1,-0.02932540886104107,decreases higher-risk model output,15
GER_XAI_008,944,0,1,0.5135554,Attribute17,Job,Skilled employee or official,-0.0125421192497015,decreases higher-risk model output,16
GER_XAI_008,944,0,1,0.5135554,Attribute18,Dependants,1,0.0005382228409871459,increases higher-risk model output,17
GER_XAI_009,992,0,1,0.51524305,Attribute1,Checking account status,< 0 DM,0.859383225440979,increases higher-risk model output,1
