case_id,row_index,true_target,predicted_class,predicted_probability,case_type,shap_top_feature,shap_top_direction,lime_top_feature,lime_top_direction,top_1_agreement,top_5_overlap_count,top_5_jaccard,direction_agreement_rate,dice_valid_counterfactual,dice_final_status,dice_counterfactual_probability,dice_changed_actionable_features
GER_XAI_001,11,1,1,0.9466822,high-confidence positive,Checking account status,increases higher-risk model output,Checking account status,increases local higher-risk prediction,True,4,0.6666666666666666,1.0,False,no_counterfactual_returned_first_pass,,
GER_XAI_002,832,1,1,0.9256946,high-confidence positive,Checking account status,increases higher-risk model output,Checking account status,increases local higher-risk prediction,True,4,0.6666666666666666,1.0,False,no_counterfactual_returned_first_pass,,
GER_XAI_003,998,1,1,0.90678245,high-confidence positive,Checking account status,increases higher-risk model output,Checking account status,increases local higher-risk prediction,True,4,0.6666666666666666,1.0,True,success_first_pass,0.2375951409339904,2.0
GER_XAI_004,831,1,1,0.9063597,high-confidence positive,Checking account status,increases higher-risk model output,Checking account status,increases local higher-risk prediction,True,2,0.25,1.0,True,success_first_pass,0.4853120446205139,2.0
GER_XAI_005,141,0,1,0.9055074,high-confidence positive,Credit duration (months),increases higher-risk model output,Credit duration (months),increases local higher-risk prediction,True,4,0.6666666666666666,1.0,True,success_first_pass,0.2807798981666565,2.0
GER_XAI_006,273,1,1,0.5018516,borderline positive,Credit duration (months),increases higher-risk model output,Credit duration (months),increases local higher-risk prediction,True,5,1.0,1.0,True,success_first_pass,0.4138804376125335,2.0
GER_XAI_007,653,1,1,0.5034409,borderline positive,Credit duration (months),increases higher-risk model output,Credit duration (months),increases local higher-risk prediction,True,2,0.25,1.0,True,success_first_pass,0.4409898519515991,1.0
GER_XAI_008,944,0,1,0.5135554,borderline positive,Other debtors or guarantors,decreases higher-risk model output,Checking account status,increases local higher-risk prediction,False,2,0.25,1.0,True,success_first_pass,0.2804802060127258,2.0
GER_XAI_009,992,0,1,0.51524305,borderline positive,Checking account status,increases higher-risk model output,Checking account status,increases local higher-risk prediction,True,4,0.6666666666666666,1.0,True,success_first_pass,0.3626404702663421,2.0
GER_XAI_010,677,1,1,0.5176819,borderline positive,Credit duration (months),increases higher-risk model output,Credit duration (months),increases local higher-risk prediction,True,4,0.6666666666666666,0.75,True,success_first_pass,0.4469936490058899,2.0
GER_XAI_011,817,0,0,0.011951139,high-confidence negative,Checking account status,decreases higher-risk model output,Checking account status,decreases local higher-risk prediction,True,3,0.42857142857142855,1.0,False,no_counterfactual_returned_first_pass,,
GER_XAI_012,234,0,0,0.012772601,high-confidence negative,Credit duration (months),decreases higher-risk model output,Checking account status,decreases local higher-risk prediction,False,4,0.6666666666666666,1.0,False,no_counterfactual_returned_first_pass,,
GER_XAI_013,159,0,0,0.014923423,high-confidence negative,Credit duration (months),decreases higher-risk model output,Checking account status,decreases local higher-risk prediction,False,4,0.6666666666666666,1.0,False,no_counterfactual_returned_first_pass,,
GER_XAI_014,523,0,0,0.020744441,high-confidence negative,Checking account status,decreases higher-risk model output,Checking account status,decreases local higher-risk prediction,True,4,0.6666666666666666,1.0,False,no_counterfactual_returned_first_pass,,
GER_XAI_015,860,0,0,0.024179073,high-confidence negative,Checking account status,decreases higher-risk model output,Checking account status,decreases local higher-risk prediction,True,4,0.6666666666666666,1.0,False,no_counterfactual_returned_first_pass,,
GER_XAI_016,293,0,0,0.48432785,borderline negative,Credit purpose,decreases higher-risk model output,Credit purpose,decreases local higher-risk prediction,True,4,0.6666666666666666,1.0,True,success_first_pass,0.5005469918251038,2.0
GER_XAI_017,297,0,0,0.48025113,borderline negative,Checking account status,decreases higher-risk model output,Checking account status,decreases local higher-risk prediction,True,3,0.42857142857142855,1.0,True,success_first_pass,0.5078649520874023,2.0
GER_XAI_018,579,0,0,0.47793216,borderline negative,Checking account status,decreases higher-risk model output,Checking account status,decreases local higher-risk prediction,True,4,0.6666666666666666,1.0,False,no_counterfactual_returned_first_pass,,
GER_XAI_019,804,0,0,0.4572692,borderline negative,Savings account status,decreases higher-risk model output,Credit duration (months),decreases local higher-risk prediction,False,1,0.1111111111111111,1.0,True,success_first_pass,0.5285462141036987,2.0
GER_XAI_020,263,0,0,0.45461446,borderline negative,Other installment plans,increases higher-risk model output,Checking account status,decreases local higher-risk prediction,False,3,0.42857142857142855,1.0,True,success_first_pass,0.59651118516922,2.0
