case_id,counterfactual_id,original_probability,original_class,desired_class,counterfactual_probability,counterfactual_class,absolute_probability_change,number_of_changed_actionable_features,proximity_score
GER_XAI_003,GER_XAI_003_CF_001,0.90678245,1,0,0.2375951409339904,0,0.6691873090660097,2,0.3982812970104756
GER_XAI_004,GER_XAI_004_CF_001,0.9063597,1,0,0.4853120446205139,0,0.4210476553794861,2,0.1075576889764138
GER_XAI_005,GER_XAI_005_CF_001,0.9055074,1,0,0.2807798981666565,0,0.6247275018333435,2,0.4299162130868047
GER_XAI_006,GER_XAI_006_CF_001,0.5018516,1,0,0.4138804376125335,0,0.08797116238746644,2,0.1620864217791271
GER_XAI_007,GER_XAI_007_CF_001,0.5034409,1,0,0.4409898519515991,0,0.06245104804840085,1,0.0260386750909439
GER_XAI_008,GER_XAI_008_CF_001,0.5135554,1,0,0.2804802060127258,0,0.23307519398727422,2,0.0812506268063419
GER_XAI_009,GER_XAI_009_CF_001,0.51524305,1,0,0.3626404702663421,0,0.15260257973365793,2,0.0536352488535142
GER_XAI_010,GER_XAI_010_CF_001,0.5176819,1,0,0.4469936490058899,0,0.07068825099411014,2,0.4337408714203659
GER_XAI_016,GER_XAI_016_CF_001,0.48432785,0,1,0.5005469918251038,1,0.016219141825103756,2,0.0283812213378554
GER_XAI_017,GER_XAI_017_CF_001,0.48025113,0,1,0.5078649520874023,1,0.027613822087402318,2,0.0453129701047564
GER_XAI_019,GER_XAI_019_CF_001,0.4572692,0,1,0.5285462141036987,1,0.07127701410369874,2,0.3367682320870144
GER_XAI_020,GER_XAI_020_CF_001,0.45461446,0,1,0.59651118516922,1,0.14189672516921997,2,0.057273004932396
