case_id,top_1_agreement,top_3_overlap_count,top_3_jaccard,top_5_overlap_count,top_5_jaccard,shared_rank_spearman
GER_XAI_001,True,2,0.5,4,0.6666666666666666,0.7999999999999999
GER_XAI_002,True,3,1.0,4,0.6666666666666666,0.7999999999999999
GER_XAI_003,True,2,0.5,4,0.6666666666666666,1.0
GER_XAI_004,True,1,0.2,2,0.25,0.9999999999999999
GER_XAI_005,True,1,0.2,4,0.6666666666666666,0.39999999999999997
GER_XAI_006,True,1,0.2,5,1.0,0.19999999999999998
GER_XAI_007,True,1,0.2,2,0.25,0.9999999999999999
GER_XAI_008,False,0,0.0,2,0.25,0.9999999999999999
GER_XAI_009,True,2,0.5,4,0.6666666666666666,0.7999999999999999
GER_XAI_010,True,3,1.0,4,0.6666666666666666,0.7999999999999999
GER_XAI_011,True,2,0.5,3,0.42857142857142855,1.0
GER_XAI_012,False,3,1.0,4,0.6666666666666666,0.7999999999999999
GER_XAI_013,False,3,1.0,4,0.6666666666666666,0.7999999999999999
GER_XAI_014,True,2,0.5,4,0.6666666666666666,0.39999999999999997
GER_XAI_015,True,2,0.5,4,0.6666666666666666,1.0
GER_XAI_016,True,3,1.0,4,0.6666666666666666,0.7999999999999999
GER_XAI_017,True,2,0.5,3,0.42857142857142855,1.0
GER_XAI_018,True,2,0.5,4,0.6666666666666666,0.7999999999999999
GER_XAI_019,False,0,0.0,1,0.1111111111111111,
GER_XAI_020,False,1,0.2,3,0.42857142857142855,0.5
