feature_a,feature_b,raw_spearman,valid_only_spearman,absolute_raw_spearman,absolute_valid_only_spearman,valid_pair_count,absolute_difference
nr_inquiries_in_last_6_months,nr_inquiries_in_last_6_months_not_recent,0.9853892685238458,0.9823582924526473,0.9853892685238458,0.9823582924526473,9871,0.00303097607119851
percentage_of_legal_trades,maximum_illegal_trades,0.919387452860833,0.9022006602160909,0.919387452860833,0.9022006602160909,9871,0.0171867926447421
number_of_satisfactory_trades,nr_total_trades,0.881710812684173,0.859296004717095,0.881710812684173,0.859296004717095,9871,0.022414807967077954
nr_trades_insolvent_for_over_60_days,nr_trades_insolvent_for_over_90_days,0.871226607237193,0.8316265387040851,0.871226607237193,0.8316265387040851,9871,0.039600068533107935
percentage_of_legal_trades,maximum_illegal_trades_over_last_year,0.8600728212467811,0.8303635481997182,0.8600728212467811,0.8303635481997182,9871,0.029709273047062834
maximum_illegal_trades_over_last_year,maximum_illegal_trades,0.8538077839930054,0.8224017834084709,0.8538077839930054,0.8224017834084709,9871,0.031406000584534466
months_since_last_illegal_trade,maximum_illegal_trades_over_last_year,-0.33978450946723476,0.7826876075072301,0.33978450946723476,0.7826876075072301,5031,1.122472116974465
months_since_last_trade,nr_trades_initiated_in_last_year,-0.46981684726797335,-0.7551902325399481,0.46981684726797335,0.7551902325399481,9871,0.28537338527197476
months_since_first_trade,average_duration_of_resolution,0.7400272691141235,0.7236146107242402,0.7400272691141235,0.7236146107242402,9632,0.016412658389883372
net_fraction_of_revolving_burden,nr_banks_with_high_ratio,0.7300904701499494,0.6998122450933176,0.7300904701499494,0.6998122450933176,9282,0.030278225056631802
nr_trades_insolvent_for_over_60_days,maximum_illegal_trades,-0.3495914422501039,-0.6844857195229359,0.3495914422501039,0.6844857195229359,9871,0.334894277272832
estimate_of_risk,net_fraction_of_revolving_burden,-0.3433909702796018,-0.6402314450667148,0.3433909702796018,0.6402314450667148,9682,0.296840474787113
estimate_of_risk,maximum_illegal_trades_over_last_year,0.6809716315724278,0.6190329900022149,0.6809716315724278,0.6190329900022149,9861,0.06193864157021289
net_fraction_of_revolving_burden,percentage_trades_with_balance,0.6193614901126212,0.6131720104663659,0.6193614901126212,0.6131720104663659,9685,0.006189479646255269
estimate_of_risk,percentage_of_legal_trades,0.653173781344408,0.5859357449821885,0.653173781344408,0.5859357449821885,9861,0.06723803636221948
nr_trades_insolvent_for_over_60_days,percentage_of_legal_trades,-0.26268399397821984,-0.5723462159764064,0.26268399397821984,0.5723462159764064,9871,0.3096622219981866
estimate_of_risk,nr_banks_with_high_ratio,-0.2148046808869077,-0.5587035562248521,0.2148046808869077,0.5587035562248521,9285,0.3438988753379444
nr_revolving_trades_with_balance,nr_banks_with_high_ratio,0.6649077763696789,0.5419432658341459,0.6649077763696789,0.5419432658341459,9288,0.12296451053553303
nr_trades_insolvent_for_over_60_days,maximum_illegal_trades_over_last_year,-0.233582341105971,-0.5381346311087387,0.233582341105971,0.5381346311087387,9871,0.30455229000276773
estimate_of_risk,maximum_illegal_trades,0.6084059032971615,0.530980156211115,0.6084059032971615,0.530980156211115,9861,0.07742574708604644
estimate_of_risk,months_since_last_illegal_trade,-0.12616235290990324,0.5228474084771109,0.12616235290990324,0.5228474084771109,5027,0.649009761387014
nr_trades_insolvent_for_over_90_days,maximum_illegal_trades,-0.188329584891543,-0.518557431888641,0.188329584891543,0.518557431888641,9871,0.330227846997098
estimate_of_risk,nr_trades_insolvent_for_over_60_days,-0.20358809053234886,-0.4833325038635555,0.20358809053234886,0.4833325038635555,9861,0.2797444133312066
number_of_satisfactory_trades,nr_revolving_trades_with_balance,0.5809466254507051,0.4789356345496345,0.5809466254507051,0.4789356345496345,9715,0.10201099090107058
