raw_feature_name,dtype,role,missing_count,unique_count,minimum,maximum,suspected_special_values,preliminary_interpretation,possible_modelling_concern
estimate_of_risk,int64,predictor,0,61,-9,94,-9,Meaning inferred only from dataset-card feature name; detailed definition not provided,Potential pre-existing risk score or target-proxy; definition and availability timing require review
months_since_first_trade,int64,predictor,0,526,-9,803,"-9, -8",Meaning inferred only from dataset-card feature name; detailed definition not provided,Negative special codes require semantic confirmation before preprocessing
months_since_last_trade,int64,predictor,0,112,-9,383,-9,Meaning inferred only from dataset-card feature name; detailed definition not provided,Negative special codes require semantic confirmation before preprocessing
average_duration_of_resolution,int64,predictor,0,237,-9,383,-9,Meaning inferred only from dataset-card feature name; detailed definition not provided,Negative special codes require semantic confirmation before preprocessing
number_of_satisfactory_trades,int64,predictor,0,74,-9,79,-9,Meaning inferred only from dataset-card feature name; detailed definition not provided,Negative special codes require semantic confirmation before preprocessing
nr_trades_insolvent_for_over_60_days,int64,predictor,0,19,-9,19,-9,Meaning inferred only from dataset-card feature name; detailed definition not provided,Negative special codes require semantic confirmation before preprocessing
nr_trades_insolvent_for_over_90_days,int64,predictor,0,17,-9,19,-9,Meaning inferred only from dataset-card feature name; detailed definition not provided,Negative special codes require semantic confirmation before preprocessing
percentage_of_legal_trades,int64,predictor,0,72,-9,100,-9,Meaning inferred only from dataset-card feature name; detailed definition not provided,Negative special codes require semantic confirmation before preprocessing
months_since_last_illegal_trade,int64,predictor,0,87,-9,83,"-9, -8, -7",Meaning inferred only from dataset-card feature name; detailed definition not provided,Negative special codes require semantic confirmation before preprocessing
maximum_illegal_trades_over_last_year,int64,predictor,0,10,-9,9,-9,Meaning inferred only from dataset-card feature name; detailed definition not provided,Negative special codes require semantic confirmation before preprocessing
maximum_illegal_trades,int64,predictor,0,8,-9,8,-9,Meaning inferred only from dataset-card feature name; detailed definition not provided,Negative special codes require semantic confirmation before preprocessing
nr_total_trades,int64,predictor,0,88,-9,104,-9,Meaning inferred only from dataset-card feature name; detailed definition not provided,Negative special codes require semantic confirmation before preprocessing
nr_trades_initiated_in_last_year,int64,predictor,0,19,-9,19,-9,Meaning inferred only from dataset-card feature name; detailed definition not provided,Negative special codes require semantic confirmation before preprocessing
percentage_of_installment_trades,int64,predictor,0,96,-9,100,-9,Meaning inferred only from dataset-card feature name; detailed definition not provided,Negative special codes require semantic confirmation before preprocessing
months_since_last_inquiry_not_recent,int64,predictor,0,28,-9,24,"-9, -8, -7",Meaning inferred only from dataset-card feature name; detailed definition not provided,Negative special codes require semantic confirmation before preprocessing
nr_inquiries_in_last_6_months,int64,predictor,0,27,-9,66,-9,Meaning inferred only from dataset-card feature name; detailed definition not provided,Negative special codes require semantic confirmation before preprocessing
nr_inquiries_in_last_6_months_not_recent,int64,predictor,0,27,-9,66,-9,Meaning inferred only from dataset-card feature name; detailed definition not provided,Negative special codes require semantic confirmation before preprocessing
net_fraction_of_revolving_burden,int64,predictor,0,128,-9,232,"-9, -8",Meaning inferred only from dataset-card feature name; detailed definition not provided,Negative special codes require semantic confirmation before preprocessing
net_fraction_of_installment_burden,int64,predictor,0,139,-9,471,"-9, -8",Meaning inferred only from dataset-card feature name; detailed definition not provided,Negative special codes require semantic confirmation before preprocessing
nr_revolving_trades_with_balance,int64,predictor,0,31,-9,32,"-9, -8",Meaning inferred only from dataset-card feature name; detailed definition not provided,Negative special codes require semantic confirmation before preprocessing
nr_installment_trades_with_balance,int64,predictor,0,20,-9,23,"-9, -8",Meaning inferred only from dataset-card feature name; detailed definition not provided,Negative special codes require semantic confirmation before preprocessing
nr_banks_with_high_ratio,int64,predictor,0,19,-9,18,"-9, -8",Meaning inferred only from dataset-card feature name; detailed definition not provided,Negative special codes require semantic confirmation before preprocessing
percentage_trades_with_balance,int64,predictor,0,95,-9,100,"-9, -8",Meaning inferred only from dataset-card feature name; detailed definition not provided,Negative special codes require semantic confirmation before preprocessing
is_at_risk,int64,target,0,2,0,1,none observed,Target named is_at_risk,Target column; retain unchanged in Stage 01
