raw_feature_name,display_name,verified_description,description_status,dtype,observed_minimum,observed_maximum,special_value_codes,special_value_prevalence_percent,likely_availability_at_credit_decision_time,leakage_concern,sensitive_proxy_concern,preliminary_modelling_eligibility,preliminary_dice_actionability,notes
estimate_of_risk,Estimate Of Risk,Detailed definition not provided by frozen source metadata; source feature name retained,UNCONFIRMED beyond source name,int64,-9,94,-9,5.7175638206329475,"Likely credit-report information, but exact timing requires confirmation",High: unresolved existing score / target proxy,uncertain; no direct protected attribute identified,exclude from primary model,unsuitable / unresolved,Do not interpret special codes as ordered numeric measurements
months_since_first_trade,Months Since First Trade,Detailed definition not provided by frozen source metadata; source feature name retained,UNCONFIRMED beyond source name,int64,-9,803,"-9, -8",7.907065685055932,"Likely credit-report information, but exact timing requires confirmation",No obvious leakage verified; definition and timing still require review,potential socioeconomic proxy / ordinary credit-behaviour variable,provisionally eligible,non-actionable,Do not interpret special codes as ordered numeric measurements
months_since_last_trade,Months Since Last Trade,Detailed definition not provided by frozen source metadata; source feature name retained,UNCONFIRMED beyond source name,int64,-9,383,-9,5.621952385505306,"Likely credit-report information, but exact timing requires confirmation",No obvious leakage verified; definition and timing still require review,potential socioeconomic proxy / ordinary credit-behaviour variable,provisionally eligible,non-actionable,Do not interpret special codes as ordered numeric measurements
average_duration_of_resolution,Average Duration Of Resolution,Detailed definition not provided by frozen source metadata; source feature name retained,UNCONFIRMED beyond source name,int64,-9,383,-9,5.621952385505306,"Likely credit-report information, but exact timing requires confirmation",No obvious leakage verified; definition and timing still require review,uncertain; no direct protected attribute identified,provisionally eligible,non-actionable,Do not interpret special codes as ordered numeric measurements
number_of_satisfactory_trades,Number Of Satisfactory Trades,Detailed definition not provided by frozen source metadata; source feature name retained,UNCONFIRMED beyond source name,int64,-9,79,-9,5.621952385505306,"Likely credit-report information, but exact timing requires confirmation",No obvious leakage verified; definition and timing still require review,potential socioeconomic proxy / ordinary credit-behaviour variable,provisionally eligible,non-actionable,Do not interpret special codes as ordered numeric measurements
nr_trades_insolvent_for_over_60_days,Number Of Trades Insolvent For Over 60 Days,Detailed definition not provided by frozen source metadata; source feature name retained,UNCONFIRMED beyond source name,int64,-9,19,-9,5.621952385505306,"Likely credit-report information, but exact timing requires confirmation",No obvious leakage verified; definition and timing still require review,potential socioeconomic proxy / ordinary credit-behaviour variable,provisionally eligible,non-actionable,Do not interpret special codes as ordered numeric measurements
nr_trades_insolvent_for_over_90_days,Number Of Trades Insolvent For Over 90 Days,Detailed definition not provided by frozen source metadata; source feature name retained,UNCONFIRMED beyond source name,int64,-9,19,-9,5.621952385505306,"Likely credit-report information, but exact timing requires confirmation",No obvious leakage verified; definition and timing still require review,potential socioeconomic proxy / ordinary credit-behaviour variable,provisionally eligible,non-actionable,Do not interpret special codes as ordered numeric measurements
percentage_of_legal_trades,Percentage Of Legal Trades,Detailed definition not provided by frozen source metadata; source feature name retained,UNCONFIRMED beyond source name,int64,-9,100,-9,5.621952385505306,"Likely credit-report information, but exact timing requires confirmation",No obvious leakage verified; definition and timing still require review,potential socioeconomic proxy / ordinary credit-behaviour variable,provisionally eligible,non-actionable,Do not interpret special codes as ordered numeric measurements
months_since_last_illegal_trade,Months Since Last Illegal Trade,Detailed definition not provided by frozen source metadata; source feature name retained,UNCONFIRMED beyond source name,int64,-9,83,"-9, -8, -7",51.897886987283684,"Likely credit-report information, but exact timing requires confirmation",No obvious leakage verified; definition and timing still require review,potential socioeconomic proxy / ordinary credit-behaviour variable,provisionally eligible,non-actionable,Do not interpret special codes as ordered numeric measurements
maximum_illegal_trades_over_last_year,Maximum Illegal Trades Over Last Year,Detailed definition not provided by frozen source metadata; source feature name retained,UNCONFIRMED beyond source name,int64,-9,9,-9,5.621952385505306,"Likely credit-report information, but exact timing requires confirmation",No obvious leakage verified; definition and timing still require review,potential socioeconomic proxy / ordinary credit-behaviour variable,provisionally eligible,non-actionable,Do not interpret special codes as ordered numeric measurements
