case_id,number_of_reported_features,absolute_weight_sum,features_for_50_percent,features_for_80_percent
HELOC_XAI_001,5,0.6983070445255338,2,4
HELOC_XAI_002,5,0.6945268614085633,3,4
HELOC_XAI_003,5,0.7147752215325404,2,4
HELOC_XAI_004,5,0.6762243539718837,3,4
HELOC_XAI_005,5,0.5884759559621481,2,4
HELOC_XAI_006,5,0.5868902865517964,2,4
HELOC_XAI_007,5,0.6408628068507516,2,4
HELOC_XAI_008,5,0.5545232048376799,2,4
HELOC_XAI_009,5,0.43647557028293893,2,4
HELOC_XAI_010,5,0.6507814459809611,2,4
HELOC_XAI_011,5,0.48190550596641635,2,4
HELOC_XAI_012,5,0.5967660423661547,3,4
HELOC_XAI_013,5,0.5526273247657413,2,4
HELOC_XAI_014,5,0.6002289211652907,3,4
HELOC_XAI_015,5,0.6122717698975688,3,4
HELOC_XAI_016,5,0.5454731159180057,2,4
HELOC_XAI_017,5,0.366284309629447,2,4
HELOC_XAI_018,5,0.6449793387282584,2,4
HELOC_XAI_019,5,0.6559583922642709,2,4
HELOC_XAI_020,5,0.3677553296107852,2,4
