feature,missing_count,missing_percentage
estimate_of_risk,0,0.0
months_since_first_trade,0,0.0
months_since_last_trade,0,0.0
average_duration_of_resolution,0,0.0
number_of_satisfactory_trades,0,0.0
nr_trades_insolvent_for_over_60_days,0,0.0
nr_trades_insolvent_for_over_90_days,0,0.0
percentage_of_legal_trades,0,0.0
months_since_last_illegal_trade,0,0.0
maximum_illegal_trades_over_last_year,0,0.0
maximum_illegal_trades,0,0.0
nr_total_trades,0,0.0
nr_trades_initiated_in_last_year,0,0.0
percentage_of_installment_trades,0,0.0
months_since_last_inquiry_not_recent,0,0.0
nr_inquiries_in_last_6_months,0,0.0
nr_inquiries_in_last_6_months_not_recent,0,0.0
net_fraction_of_revolving_burden,0,0.0
net_fraction_of_installment_burden,0,0.0
nr_revolving_trades_with_balance,0,0.0
nr_installment_trades_with_balance,0,0.0
nr_banks_with_high_ratio,0,0.0
percentage_trades_with_balance,0,0.0
is_at_risk,0,0.0
