rank,transformed_feature,importance,original_feature,display_feature,representation_type,special_code,readable_label
1,net_fraction_of_revolving_burden__numeric_imputed,0.1810705,net_fraction_of_revolving_burden,Net Fraction Of Revolving Burden,numeric_imputed,,Net Fraction Of Revolving Burden (imputed value)
2,percentage_of_legal_trades__numeric_imputed,0.12313647,percentage_of_legal_trades,Percentage Of Legal Trades,numeric_imputed,,Percentage Of Legal Trades (imputed value)
3,maximum_illegal_trades_over_last_year__numeric_imputed,0.10319685,maximum_illegal_trades_over_last_year,Maximum Illegal Trades Over Last Year,numeric_imputed,,Maximum Illegal Trades Over Last Year (imputed value)
4,average_duration_of_resolution__numeric_imputed,0.07940259,average_duration_of_resolution,Average Duration Of Resolution,numeric_imputed,,Average Duration Of Resolution (imputed value)
5,nr_banks_with_high_ratio__numeric_imputed,0.06467625,nr_banks_with_high_ratio,Number Of Banks With High Ratio,numeric_imputed,,Number Of Banks With High Ratio (imputed value)
6,months_since_last_inquiry_not_recent__is_minus8,0.061785817,months_since_last_inquiry_not_recent,Months Since Last Inquiry Not Recent,special_indicator,-8.0,Months Since Last Inquiry Not Recent (special -8)
7,months_since_last_inquiry_not_recent__numeric_imputed,0.05662016,months_since_last_inquiry_not_recent,Months Since Last Inquiry Not Recent,numeric_imputed,,Months Since Last Inquiry Not Recent (imputed value)
8,nr_banks_with_high_ratio__is_minus8,0.030757912,nr_banks_with_high_ratio,Number Of Banks With High Ratio,special_indicator,-8.0,Number Of Banks With High Ratio (special -8)
9,percentage_trades_with_balance__numeric_imputed,0.026957145,percentage_trades_with_balance,Percentage Trades With Balance,numeric_imputed,,Percentage Trades With Balance (imputed value)
10,months_since_last_illegal_trade__numeric_imputed,0.023634579,months_since_last_illegal_trade,Months Since Last Illegal Trade,numeric_imputed,,Months Since Last Illegal Trade (imputed value)
11,number_of_satisfactory_trades__numeric_imputed,0.021683931,number_of_satisfactory_trades,Number Of Satisfactory Trades,numeric_imputed,,Number Of Satisfactory Trades (imputed value)
12,nr_inquiries_in_last_6_months__numeric_imputed,0.021104714,nr_inquiries_in_last_6_months,Number Of Inquiries In Last 6 Months,numeric_imputed,,Number Of Inquiries In Last 6 Months (imputed value)
13,percentage_of_installment_trades__numeric_imputed,0.019870494,percentage_of_installment_trades,Percentage Of Installment Trades,numeric_imputed,,Percentage Of Installment Trades (imputed value)
14,nr_revolving_trades_with_balance__numeric_imputed,0.019578785,nr_revolving_trades_with_balance,Number Of Revolving Trades With Balance,numeric_imputed,,Number Of Revolving Trades With Balance (imputed value)
15,nr_trades_insolvent_for_over_90_days__numeric_imputed,0.016333241,nr_trades_insolvent_for_over_90_days,Number Of Trades Insolvent For Over 90 Days,numeric_imputed,,Number Of Trades Insolvent For Over 90 Days (imputed value)
16,maximum_illegal_trades__numeric_imputed,0.016270777,maximum_illegal_trades,Maximum Illegal Trades,numeric_imputed,,Maximum Illegal Trades (imputed value)
17,nr_trades_insolvent_for_over_60_days__numeric_imputed,0.015960403,nr_trades_insolvent_for_over_60_days,Number Of Trades Insolvent For Over 60 Days,numeric_imputed,,Number Of Trades Insolvent For Over 60 Days (imputed value)
18,months_since_first_trade__numeric_imputed,0.01496655,months_since_first_trade,Months Since First Trade,numeric_imputed,,Months Since First Trade (imputed value)
19,net_fraction_of_installment_burden__numeric_imputed,0.014076833,net_fraction_of_installment_burden,Net Fraction Of Installment Burden,numeric_imputed,,Net Fraction Of Installment Burden (imputed value)
20,nr_total_trades__numeric_imputed,0.012667297,nr_total_trades,Number Of Total Trades,numeric_imputed,,Number Of Total Trades (imputed value)
21,nr_installment_trades_with_balance__numeric_imputed,0.012393026,nr_installment_trades_with_balance,Number Of Installment Trades With Balance,numeric_imputed,,Number Of Installment Trades With Balance (imputed value)
22,months_since_last_trade__numeric_imputed,0.01098165,months_since_last_trade,Months Since Last Trade,numeric_imputed,,Months Since Last Trade (imputed value)
23,net_fraction_of_installment_burden__is_minus8,0.010323588,net_fraction_of_installment_burden,Net Fraction Of Installment Burden,special_indicator,-8.0,Net Fraction Of Installment Burden (special -8)
