feature,count,mean,std,min,25%,50%,75%,max
estimate_of_risk,10459.0,67.42575772062338,21.121621199316195,-9.0,63.0,71.0,79.0,94.0
months_since_first_trade,10459.0,184.20537336265417,109.68381636933778,-9.0,118.0,178.0,249.5,803.0
months_since_last_trade,10459.0,8.543455397265513,13.301744707752373,-9.0,3.0,5.0,11.0,383.0
average_duration_of_resolution,10459.0,73.8432928578258,38.78280252084193,-9.0,52.0,74.0,95.0,383.0
number_of_satisfactory_trades,10459.0,19.42805239506645,13.00432651362561,-9.0,12.0,19.0,27.0,79.0
nr_trades_insolvent_for_over_60_days,10459.0,0.04273831150205565,2.513910353287844,-9.0,0.0,0.0,1.0,19.0
nr_trades_insolvent_for_over_90_days,10459.0,-0.14284348408069605,2.367397280315259,-9.0,0.0,0.0,0.0,19.0
percentage_of_legal_trades,10459.0,86.66153551964815,25.99958411288141,-9.0,87.0,96.0,100.0,100.0
months_since_last_illegal_trade,10459.0,6.762405583707811,20.501250207635326,-9.0,-7.0,-7.0,14.0,83.0
maximum_illegal_trades_over_last_year,10459.0,4.928291423654269,3.756275027396681,-9.0,4.0,6.0,7.0,9.0
maximum_illegal_trades,10459.0,5.510182617841094,3.9711821152575695,-9.0,5.0,6.0,8.0,8.0
nr_total_trades,10459.0,20.856965293049047,14.580905117336604,-9.0,12.0,20.0,29.0,104.0
nr_trades_initiated_in_last_year,10459.0,1.2530834687828665,3.0686835154023955,-9.0,0.0,1.0,3.0,19.0
percentage_of_installment_trades,10459.0,32.166459508557224,20.128633937447436,-9.0,20.0,31.0,44.0,100.0
months_since_last_inquiry_not_recent,10459.0,-0.32536571373936324,6.067556349402856,-9.0,-7.0,0.0,1.0,24.0
nr_inquiries_in_last_6_months,10459.0,0.8681518309589827,3.179303850723297,-9.0,0.0,1.0,2.0,66.0
nr_inquiries_in_last_6_months_not_recent,10459.0,0.8126015871498231,3.1436978260172475,-9.0,0.0,1.0,2.0,66.0
net_fraction_of_revolving_burden,10459.0,31.629888134620902,30.06013972177554,-9.0,5.0,25.0,54.0,232.0
net_fraction_of_installment_burden,10459.0,39.15890620518214,42.101601350622815,-9.0,-8.0,47.0,79.0,471.0
nr_revolving_trades_with_balance,10459.0,3.1850081269719857,4.413172978983232,-9.0,2.0,3.0,5.0,32.0
nr_installment_trades_with_balance,10459.0,0.9760971412180897,4.060995362214557,-9.0,1.0,2.0,3.0,23.0
nr_banks_with_high_ratio,10459.0,0.0180705612391242,3.358134708295611,-9.0,0.0,0.0,1.0,18.0
percentage_trades_with_balance,10459.0,62.07916626828569,27.71156462133916,-9.0,47.0,67.0,82.0,100.0
