case_id,row_index,true_target,predicted_class,predicted_probability,original_feature,display_feature,display_value,special_state,shap_value,direction,rank
HELOC_XAI_001,1991,1,1,0.9483221,average_duration_of_resolution,Average Duration Of Resolution,25,,0.9280520677566528,increases model at-risk output,1
HELOC_XAI_001,1991,1,1,0.9483221,net_fraction_of_revolving_burden,Net Fraction Of Revolving Burden,98,,0.7988026142120361,increases model at-risk output,2
HELOC_XAI_001,1991,1,1,0.9483221,percentage_of_installment_trades,Percentage Of Installment Trades,75,,0.41932088136672974,increases model at-risk output,3
HELOC_XAI_001,1991,1,1,0.9483221,number_of_satisfactory_trades,Number Of Satisfactory Trades,4,,0.27330222725868225,increases model at-risk output,4
HELOC_XAI_001,1991,1,1,0.9483221,months_since_last_inquiry_not_recent,Months Since Last Inquiry Not Recent,0,,0.20020541548728943,increases model at-risk output,5
HELOC_XAI_001,1991,1,1,0.9483221,percentage_trades_with_balance,Percentage Trades With Balance,100,,0.14708946645259857,increases model at-risk output,6
HELOC_XAI_001,1991,1,1,0.9483221,percentage_of_legal_trades,Percentage Of Legal Trades,100,,-0.1300431489944458,decreases model at-risk output,7
HELOC_XAI_001,1991,1,1,0.9483221,net_fraction_of_installment_burden,Net Fraction Of Installment Burden,101,,0.12958087027072906,increases model at-risk output,8
HELOC_XAI_001,1991,1,1,0.9483221,months_since_first_trade,Months Since First Trade,67,,0.11330167949199677,increases model at-risk output,9
HELOC_XAI_001,1991,1,1,0.9483221,nr_revolving_trades_with_balance,Number Of Revolving Trades With Balance,1,,-0.08369408547878265,decreases model at-risk output,10
HELOC_XAI_001,1991,1,1,0.9483221,nr_banks_with_high_ratio,Number Of Banks With High Ratio,1,,0.07934334129095078,increases model at-risk output,11
HELOC_XAI_001,1991,1,1,0.9483221,maximum_illegal_trades_over_last_year,Maximum Illegal Trades Over Last Year,7,,-0.04368770867586136,decreases model at-risk output,12
HELOC_XAI_001,1991,1,1,0.9483221,nr_total_trades,Number Of Total Trades,4,,0.03926732763648033,increases model at-risk output,13
HELOC_XAI_001,1991,1,1,0.9483221,nr_inquiries_in_last_6_months,Number Of Inquiries In Last 6 Months,0,,-0.026379207149147987,decreases model at-risk output,14
HELOC_XAI_001,1991,1,1,0.9483221,nr_trades_insolvent_for_over_90_days,Number Of Trades Insolvent For Over 90 Days,0,,-0.015583395957946777,decreases model at-risk output,15
HELOC_XAI_001,1991,1,1,0.9483221,nr_trades_insolvent_for_over_60_days,Number Of Trades Insolvent For Over 60 Days,0,,-0.009556219913065434,decreases model at-risk output,16
HELOC_XAI_001,1991,1,1,0.9483221,months_since_last_illegal_trade,Months Since Last Illegal Trade,special code -7,special code -7 (meaning unverified),0.006939105689525604,increases model at-risk output,17
HELOC_XAI_001,1991,1,1,0.9483221,months_since_last_trade,Months Since Last Trade,10,,-0.005162939894944429,decreases model at-risk output,18
HELOC_XAI_001,1991,1,1,0.9483221,maximum_illegal_trades,Maximum Illegal Trades,8,,0.004182881209999323,increases model at-risk output,19
HELOC_XAI_001,1991,1,1,0.9483221,nr_installment_trades_with_balance,Number Of Installment Trades With Balance,2,,0.0012599306646734476,increases model at-risk output,20
HELOC_XAI_001,1991,1,1,0.9483221,nr_trades_initiated_in_last_year,Number Of Trades Initiated In Last Year,3,,0.0011915445793420076,increases model at-risk output,21
HELOC_XAI_001,1991,1,1,0.9483221,nr_inquiries_in_last_6_months_not_recent,Number Of Inquiries In Last 6 Months Not Recent,0,,-0.00010105133696924895,decreases model at-risk output,22
HELOC_XAI_002,9808,1,1,0.9451859,average_duration_of_resolution,Average Duration Of Resolution,19,,0.8762457966804504,increases model at-risk output,1
HELOC_XAI_002,9808,1,1,0.9451859,net_fraction_of_revolving_burden,Net Fraction Of Revolving Burden,83,,0.7421373724937439,increases model at-risk output,2
