case_id,row_index,true_target,predicted_class,predicted_probability,original_feature,display_feature,display_value,special_state,shap_value,direction,rank
HELOC_XAI_001,1991,1,1,0.9483221,average_duration_of_resolution,Average Duration Of Resolution,25,,0.9280520677566528,increases model at-risk output,1
HELOC_XAI_001,1991,1,1,0.9483221,net_fraction_of_revolving_burden,Net Fraction Of Revolving Burden,98,,0.7988026142120361,increases model at-risk output,2
HELOC_XAI_001,1991,1,1,0.9483221,percentage_of_installment_trades,Percentage Of Installment Trades,75,,0.41932088136672974,increases model at-risk output,3
HELOC_XAI_001,1991,1,1,0.9483221,number_of_satisfactory_trades,Number Of Satisfactory Trades,4,,0.27330222725868225,increases model at-risk output,4
HELOC_XAI_001,1991,1,1,0.9483221,months_since_last_inquiry_not_recent,Months Since Last Inquiry Not Recent,0,,0.20020541548728943,increases model at-risk output,5
HELOC_XAI_002,9808,1,1,0.9451859,average_duration_of_resolution,Average Duration Of Resolution,19,,0.8762457966804504,increases model at-risk output,1
HELOC_XAI_002,9808,1,1,0.9451859,net_fraction_of_revolving_burden,Net Fraction Of Revolving Burden,83,,0.7421373724937439,increases model at-risk output,2
HELOC_XAI_002,9808,1,1,0.9451859,percentage_of_installment_trades,Percentage Of Installment Trades,70,,0.40837597846984863,increases model at-risk output,3
HELOC_XAI_002,9808,1,1,0.9451859,months_since_last_inquiry_not_recent,Months Since Last Inquiry Not Recent,0,,0.24271434545516968,increases model at-risk output,4
HELOC_XAI_002,9808,1,1,0.9451859,number_of_satisfactory_trades,Number Of Satisfactory Trades,10,,0.1663983166217804,increases model at-risk output,5
HELOC_XAI_003,1706,1,1,0.94406813,average_duration_of_resolution,Average Duration Of Resolution,26,,0.7790467739105225,increases model at-risk output,1
HELOC_XAI_003,1706,1,1,0.94406813,percentage_of_installment_trades,Percentage Of Installment Trades,67,,0.4073094427585602,increases model at-risk output,2
HELOC_XAI_003,1706,1,1,0.94406813,percentage_of_legal_trades,Percentage Of Legal Trades,83,,0.3328152894973755,increases model at-risk output,3
HELOC_XAI_003,1706,1,1,0.94406813,net_fraction_of_revolving_burden,Net Fraction Of Revolving Burden,61,,0.27632829546928406,increases model at-risk output,4
HELOC_XAI_003,1706,1,1,0.94406813,months_since_last_inquiry_not_recent,Months Since Last Inquiry Not Recent,0,,0.25596320629119873,increases model at-risk output,5
HELOC_XAI_004,10074,1,1,0.9414553,average_duration_of_resolution,Average Duration Of Resolution,15,,1.007519006729126,increases model at-risk output,1
HELOC_XAI_004,10074,1,1,0.9414553,net_fraction_of_revolving_burden,Net Fraction Of Revolving Burden,100,,0.8011541366577148,increases model at-risk output,2
HELOC_XAI_004,10074,1,1,0.9414553,percentage_of_installment_trades,Percentage Of Installment Trades,67,,0.3959030508995056,increases model at-risk output,3
HELOC_XAI_004,10074,1,1,0.9414553,months_since_last_inquiry_not_recent,Months Since Last Inquiry Not Recent,special code -7,special code -7 (meaning unverified),0.2734405994415283,increases model at-risk output,4
HELOC_XAI_004,10074,1,1,0.9414553,number_of_satisfactory_trades,Number Of Satisfactory Trades,9,,0.1692236065864563,increases model at-risk output,5
HELOC_XAI_005,7308,1,1,0.9411751,average_duration_of_resolution,Average Duration Of Resolution,25,,0.76158607006073,increases model at-risk output,1
HELOC_XAI_005,7308,1,1,0.9411751,net_fraction_of_revolving_burden,Net Fraction Of Revolving Burden,90,,0.5321059226989746,increases model at-risk output,2
HELOC_XAI_005,7308,1,1,0.9411751,nr_inquiries_in_last_6_months,Number Of Inquiries In Last 6 Months,16,,0.4196118414402008,increases model at-risk output,3
HELOC_XAI_005,7308,1,1,0.9411751,months_since_last_inquiry_not_recent,Months Since Last Inquiry Not Recent,0,,0.2845298945903778,increases model at-risk output,4
HELOC_XAI_005,7308,1,1,0.9411751,percentage_of_installment_trades,Percentage Of Installment Trades,52,,0.1803087592124939,increases model at-risk output,5
