feature,special_value,count,percentage,semantics
estimate_of_risk,-9,598,5.7175638206329475,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
months_since_first_trade,-9,588,5.621952385505306,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
months_since_first_trade,-8,239,2.2851132995506265,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
months_since_last_trade,-9,588,5.621952385505306,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
average_duration_of_resolution,-9,588,5.621952385505306,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
number_of_satisfactory_trades,-9,588,5.621952385505306,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
nr_trades_insolvent_for_over_60_days,-9,588,5.621952385505306,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
nr_trades_insolvent_for_over_90_days,-9,588,5.621952385505306,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
percentage_of_legal_trades,-9,588,5.621952385505306,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
months_since_last_illegal_trade,-9,588,5.621952385505306,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
months_since_last_illegal_trade,-8,176,1.6827612582464864,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
months_since_last_illegal_trade,-7,4664,44.59317334353189,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
maximum_illegal_trades_over_last_year,-9,588,5.621952385505306,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
maximum_illegal_trades,-9,588,5.621952385505306,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
nr_total_trades,-9,588,5.621952385505306,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
nr_trades_initiated_in_last_year,-9,588,5.621952385505306,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
percentage_of_installment_trades,-9,588,5.621952385505306,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
months_since_last_inquiry_not_recent,-9,588,5.621952385505306,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
months_since_last_inquiry_not_recent,-8,476,4.551104312075724,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
months_since_last_inquiry_not_recent,-7,1855,17.735921216177456,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
nr_inquiries_in_last_6_months,-9,588,5.621952385505306,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
nr_inquiries_in_last_6_months_not_recent,-9,588,5.621952385505306,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
net_fraction_of_revolving_burden,-9,588,5.621952385505306,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
net_fraction_of_revolving_burden,-8,186,1.7783726933741275,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
net_fraction_of_installment_burden,-9,588,5.621952385505306,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
net_fraction_of_installment_burden,-8,3419,32.68954967014055,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
nr_revolving_trades_with_balance,-9,588,5.621952385505306,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
nr_revolving_trades_with_balance,-8,156,1.4915383879912036,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
nr_installment_trades_with_balance,-9,588,5.621952385505306,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
nr_installment_trades_with_balance,-8,861,8.232144564489912,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
nr_banks_with_high_ratio,-9,588,5.621952385505306,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
nr_banks_with_high_ratio,-8,583,5.574146667941486,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
percentage_trades_with_balance,-9,588,5.621952385505306,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
percentage_trades_with_balance,-8,18,0.17210058322975427,Meaning not defined by loaded DatasetInfo or dataset card; confirmation required
