feature,count_-7,percentage_-7,count_-8,percentage_-8,count_-9,percentage_-9,total_special_coded_observations,percentage_special_coded
estimate_of_risk,0,0.0,0,0.0,598,5.7175638206329475,598,5.7175638206329475
months_since_first_trade,0,0.0,239,2.2851132995506265,588,5.621952385505306,827,7.907065685055933
months_since_last_trade,0,0.0,0,0.0,588,5.621952385505306,588,5.621952385505306
average_duration_of_resolution,0,0.0,0,0.0,588,5.621952385505306,588,5.621952385505306
number_of_satisfactory_trades,0,0.0,0,0.0,588,5.621952385505306,588,5.621952385505306
nr_trades_insolvent_for_over_60_days,0,0.0,0,0.0,588,5.621952385505306,588,5.621952385505306
nr_trades_insolvent_for_over_90_days,0,0.0,0,0.0,588,5.621952385505306,588,5.621952385505306
percentage_of_legal_trades,0,0.0,0,0.0,588,5.621952385505306,588,5.621952385505306
months_since_last_illegal_trade,4664,44.59317334353189,176,1.6827612582464864,588,5.621952385505306,5428,51.89788698728368
maximum_illegal_trades_over_last_year,0,0.0,0,0.0,588,5.621952385505306,588,5.621952385505306
maximum_illegal_trades,0,0.0,0,0.0,588,5.621952385505306,588,5.621952385505306
nr_total_trades,0,0.0,0,0.0,588,5.621952385505306,588,5.621952385505306
nr_trades_initiated_in_last_year,0,0.0,0,0.0,588,5.621952385505306,588,5.621952385505306
percentage_of_installment_trades,0,0.0,0,0.0,588,5.621952385505306,588,5.621952385505306
months_since_last_inquiry_not_recent,1855,17.735921216177456,476,4.551104312075724,588,5.621952385505306,2919,27.908977913758484
nr_inquiries_in_last_6_months,0,0.0,0,0.0,588,5.621952385505306,588,5.621952385505306
nr_inquiries_in_last_6_months_not_recent,0,0.0,0,0.0,588,5.621952385505306,588,5.621952385505306
net_fraction_of_revolving_burden,0,0.0,186,1.7783726933741275,588,5.621952385505306,774,7.400325078879434
net_fraction_of_installment_burden,0,0.0,3419,32.68954967014055,588,5.621952385505306,4007,38.31150205564585
nr_revolving_trades_with_balance,0,0.0,156,1.4915383879912036,588,5.621952385505306,744,7.11349077349651
nr_installment_trades_with_balance,0,0.0,861,8.232144564489912,588,5.621952385505306,1449,13.854096949995219
nr_banks_with_high_ratio,0,0.0,583,5.574146667941486,588,5.621952385505306,1171,11.196099053446792
percentage_trades_with_balance,0,0.0,18,0.17210058322975427,588,5.621952385505306,606,5.794052968735061
