feature,target_value,special_value,count,group_rows,percentage_within_target
estimate_of_risk,0,-7,0,5000,0.0
estimate_of_risk,0,-8,0,5000,0.0
estimate_of_risk,0,-9,267,5000,5.34
estimate_of_risk,1,-7,0,5459,0.0
estimate_of_risk,1,-8,0,5459,0.0
estimate_of_risk,1,-9,331,5459,6.063381571716431
months_since_first_trade,0,-7,0,5000,0.0
months_since_first_trade,0,-8,110,5000,2.2
months_since_first_trade,0,-9,265,5000,5.3
months_since_first_trade,1,-7,0,5459,0.0
months_since_first_trade,1,-8,129,5459,2.363070159369848
months_since_first_trade,1,-9,323,5459,5.916834585088844
months_since_last_trade,0,-7,0,5000,0.0
months_since_last_trade,0,-8,0,5000,0.0
months_since_last_trade,0,-9,265,5000,5.3
months_since_last_trade,1,-7,0,5459,0.0
months_since_last_trade,1,-8,0,5459,0.0
months_since_last_trade,1,-9,323,5459,5.916834585088844
average_duration_of_resolution,0,-7,0,5000,0.0
average_duration_of_resolution,0,-8,0,5000,0.0
average_duration_of_resolution,0,-9,265,5000,5.3
average_duration_of_resolution,1,-7,0,5459,0.0
average_duration_of_resolution,1,-8,0,5459,0.0
average_duration_of_resolution,1,-9,323,5459,5.916834585088844
number_of_satisfactory_trades,0,-7,0,5000,0.0
number_of_satisfactory_trades,0,-8,0,5000,0.0
number_of_satisfactory_trades,0,-9,265,5000,5.3
number_of_satisfactory_trades,1,-7,0,5459,0.0
number_of_satisfactory_trades,1,-8,0,5459,0.0
number_of_satisfactory_trades,1,-9,323,5459,5.916834585088844
nr_trades_insolvent_for_over_60_days,0,-7,0,5000,0.0
nr_trades_insolvent_for_over_60_days,0,-8,0,5000,0.0
nr_trades_insolvent_for_over_60_days,0,-9,265,5000,5.3
nr_trades_insolvent_for_over_60_days,1,-7,0,5459,0.0
nr_trades_insolvent_for_over_60_days,1,-8,0,5459,0.0
nr_trades_insolvent_for_over_60_days,1,-9,323,5459,5.916834585088844
nr_trades_insolvent_for_over_90_days,0,-7,0,5000,0.0
nr_trades_insolvent_for_over_90_days,0,-8,0,5000,0.0
nr_trades_insolvent_for_over_90_days,0,-9,265,5000,5.3
nr_trades_insolvent_for_over_90_days,1,-7,0,5459,0.0
nr_trades_insolvent_for_over_90_days,1,-8,0,5459,0.0
nr_trades_insolvent_for_over_90_days,1,-9,323,5459,5.916834585088844
percentage_of_legal_trades,0,-7,0,5000,0.0
percentage_of_legal_trades,0,-8,0,5000,0.0
percentage_of_legal_trades,0,-9,265,5000,5.3
percentage_of_legal_trades,1,-7,0,5459,0.0
percentage_of_legal_trades,1,-8,0,5459,0.0
percentage_of_legal_trades,1,-9,323,5459,5.916834585088844
months_since_last_illegal_trade,0,-7,2804,5000,56.08
months_since_last_illegal_trade,0,-8,72,5000,1.44
months_since_last_illegal_trade,0,-9,265,5000,5.3
months_since_last_illegal_trade,1,-7,1860,5459,34.072174390914086
months_since_last_illegal_trade,1,-8,104,5459,1.9051108261586371
months_since_last_illegal_trade,1,-9,323,5459,5.916834585088844
maximum_illegal_trades_over_last_year,0,-7,0,5000,0.0
maximum_illegal_trades_over_last_year,0,-8,0,5000,0.0
maximum_illegal_trades_over_last_year,0,-9,265,5000,5.3
maximum_illegal_trades_over_last_year,1,-7,0,5459,0.0
maximum_illegal_trades_over_last_year,1,-8,0,5459,0.0
maximum_illegal_trades_over_last_year,1,-9,323,5459,5.916834585088844
maximum_illegal_trades,0,-7,0,5000,0.0
maximum_illegal_trades,0,-8,0,5000,0.0
maximum_illegal_trades,0,-9,265,5000,5.3
maximum_illegal_trades,1,-7,0,5459,0.0
maximum_illegal_trades,1,-8,0,5459,0.0
maximum_illegal_trades,1,-9,323,5459,5.916834585088844
nr_total_trades,0,-7,0,5000,0.0
nr_total_trades,0,-8,0,5000,0.0
nr_total_trades,0,-9,265,5000,5.3
nr_total_trades,1,-7,0,5459,0.0
nr_total_trades,1,-8,0,5459,0.0
nr_total_trades,1,-9,323,5459,5.916834585088844
nr_trades_initiated_in_last_year,0,-7,0,5000,0.0
nr_trades_initiated_in_last_year,0,-8,0,5000,0.0
nr_trades_initiated_in_last_year,0,-9,265,5000,5.3
nr_trades_initiated_in_last_year,1,-7,0,5459,0.0
nr_trades_initiated_in_last_year,1,-8,0,5459,0.0
nr_trades_initiated_in_last_year,1,-9,323,5459,5.916834585088844
percentage_of_installment_trades,0,-7,0,5000,0.0
percentage_of_installment_trades,0,-8,0,5000,0.0
percentage_of_installment_trades,0,-9,265,5000,5.3
percentage_of_installment_trades,1,-7,0,5459,0.0
percentage_of_installment_trades,1,-8,0,5459,0.0
percentage_of_installment_trades,1,-9,323,5459,5.916834585088844
months_since_last_inquiry_not_recent,0,-7,717,5000,14.34
months_since_last_inquiry_not_recent,0,-8,395,5000,7.9
months_since_last_inquiry_not_recent,0,-9,265,5000,5.3
months_since_last_inquiry_not_recent,1,-7,1138,5459,20.846308847774317
months_since_last_inquiry_not_recent,1,-8,81,5459,1.4837882396043232
months_since_last_inquiry_not_recent,1,-9,323,5459,5.916834585088844
nr_inquiries_in_last_6_months,0,-7,0,5000,0.0
nr_inquiries_in_last_6_months,0,-8,0,5000,0.0
nr_inquiries_in_last_6_months,0,-9,265,5000,5.3
nr_inquiries_in_last_6_months,1,-7,0,5459,0.0
nr_inquiries_in_last_6_months,1,-8,0,5459,0.0
nr_inquiries_in_last_6_months,1,-9,323,5459,5.916834585088844
nr_inquiries_in_last_6_months_not_recent,0,-7,0,5000,0.0
nr_inquiries_in_last_6_months_not_recent,0,-8,0,5000,0.0
nr_inquiries_in_last_6_months_not_recent,0,-9,265,5000,5.3
nr_inquiries_in_last_6_months_not_recent,1,-7,0,5459,0.0
nr_inquiries_in_last_6_months_not_recent,1,-8,0,5459,0.0
nr_inquiries_in_last_6_months_not_recent,1,-9,323,5459,5.916834585088844
net_fraction_of_revolving_burden,0,-7,0,5000,0.0
net_fraction_of_revolving_burden,0,-8,37,5000,0.74
net_fraction_of_revolving_burden,0,-9,265,5000,5.3
net_fraction_of_revolving_burden,1,-7,0,5459,0.0
net_fraction_of_revolving_burden,1,-8,149,5459,2.7294376259388167
net_fraction_of_revolving_burden,1,-9,323,5459,5.916834585088844
net_fraction_of_installment_burden,0,-7,0,5000,0.0
net_fraction_of_installment_burden,0,-8,1814,5000,36.28
net_fraction_of_installment_burden,0,-9,265,5000,5.3
net_fraction_of_installment_burden,1,-7,0,5459,0.0
net_fraction_of_installment_burden,1,-8,1605,5459,29.400989192159738
net_fraction_of_installment_burden,1,-9,323,5459,5.916834585088844
nr_revolving_trades_with_balance,0,-7,0,5000,0.0
nr_revolving_trades_with_balance,0,-8,28,5000,0.56
nr_revolving_trades_with_balance,0,-9,265,5000,5.3
nr_revolving_trades_with_balance,1,-7,0,5459,0.0
nr_revolving_trades_with_balance,1,-8,128,5459,2.3447517860413996
nr_revolving_trades_with_balance,1,-9,323,5459,5.916834585088844
nr_installment_trades_with_balance,0,-7,0,5000,0.0
nr_installment_trades_with_balance,0,-8,463,5000,9.26
nr_installment_trades_with_balance,0,-9,265,5000,5.3
nr_installment_trades_with_balance,1,-7,0,5459,0.0
nr_installment_trades_with_balance,1,-8,398,5459,7.290712584722477
nr_installment_trades_with_balance,1,-9,323,5459,5.916834585088844
nr_banks_with_high_ratio,0,-7,0,5000,0.0
nr_banks_with_high_ratio,0,-8,160,5000,3.2
nr_banks_with_high_ratio,0,-9,265,5000,5.3
nr_banks_with_high_ratio,1,-7,0,5459,0.0
nr_banks_with_high_ratio,1,-8,423,5459,7.748671917933687
nr_banks_with_high_ratio,1,-9,323,5459,5.916834585088844
percentage_trades_with_balance,0,-7,0,5000,0.0
percentage_trades_with_balance,0,-8,4,5000,0.08
percentage_trades_with_balance,0,-9,265,5000,5.3
percentage_trades_with_balance,1,-7,0,5459,0.0
percentage_trades_with_balance,1,-8,14,5459,0.2564572265982781
percentage_trades_with_balance,1,-9,323,5459,5.916834585088844
