transformed_feature,original_feature,display_feature,representation_type,special_code
months_since_first_trade__numeric_imputed,months_since_first_trade,Months Since First Trade,numeric_imputed,
months_since_last_trade__numeric_imputed,months_since_last_trade,Months Since Last Trade,numeric_imputed,
average_duration_of_resolution__numeric_imputed,average_duration_of_resolution,Average Duration Of Resolution,numeric_imputed,
number_of_satisfactory_trades__numeric_imputed,number_of_satisfactory_trades,Number Of Satisfactory Trades,numeric_imputed,
nr_trades_insolvent_for_over_60_days__numeric_imputed,nr_trades_insolvent_for_over_60_days,Number Of Trades Insolvent For Over 60 Days,numeric_imputed,
nr_trades_insolvent_for_over_90_days__numeric_imputed,nr_trades_insolvent_for_over_90_days,Number Of Trades Insolvent For Over 90 Days,numeric_imputed,
percentage_of_legal_trades__numeric_imputed,percentage_of_legal_trades,Percentage Of Legal Trades,numeric_imputed,
months_since_last_illegal_trade__numeric_imputed,months_since_last_illegal_trade,Months Since Last Illegal Trade,numeric_imputed,
maximum_illegal_trades_over_last_year__numeric_imputed,maximum_illegal_trades_over_last_year,Maximum Illegal Trades Over Last Year,numeric_imputed,
maximum_illegal_trades__numeric_imputed,maximum_illegal_trades,Maximum Illegal Trades,numeric_imputed,
nr_total_trades__numeric_imputed,nr_total_trades,Number Of Total Trades,numeric_imputed,
nr_trades_initiated_in_last_year__numeric_imputed,nr_trades_initiated_in_last_year,Number Of Trades Initiated In Last Year,numeric_imputed,
percentage_of_installment_trades__numeric_imputed,percentage_of_installment_trades,Percentage Of Installment Trades,numeric_imputed,
months_since_last_inquiry_not_recent__numeric_imputed,months_since_last_inquiry_not_recent,Months Since Last Inquiry Not Recent,numeric_imputed,
nr_inquiries_in_last_6_months__numeric_imputed,nr_inquiries_in_last_6_months,Number Of Inquiries In Last 6 Months,numeric_imputed,
nr_inquiries_in_last_6_months_not_recent__numeric_imputed,nr_inquiries_in_last_6_months_not_recent,Number Of Inquiries In Last 6 Months Not Recent,numeric_imputed,
net_fraction_of_revolving_burden__numeric_imputed,net_fraction_of_revolving_burden,Net Fraction Of Revolving Burden,numeric_imputed,
net_fraction_of_installment_burden__numeric_imputed,net_fraction_of_installment_burden,Net Fraction Of Installment Burden,numeric_imputed,
nr_revolving_trades_with_balance__numeric_imputed,nr_revolving_trades_with_balance,Number Of Revolving Trades With Balance,numeric_imputed,
nr_installment_trades_with_balance__numeric_imputed,nr_installment_trades_with_balance,Number Of Installment Trades With Balance,numeric_imputed,
nr_banks_with_high_ratio__numeric_imputed,nr_banks_with_high_ratio,Number Of Banks With High Ratio,numeric_imputed,
percentage_trades_with_balance__numeric_imputed,percentage_trades_with_balance,Percentage Trades With Balance,numeric_imputed,
months_since_first_trade__is_minus8,months_since_first_trade,Months Since First Trade,special_indicator,-8.0
months_since_last_illegal_trade__is_minus7,months_since_last_illegal_trade,Months Since Last Illegal Trade,special_indicator,-7.0
months_since_last_illegal_trade__is_minus8,months_since_last_illegal_trade,Months Since Last Illegal Trade,special_indicator,-8.0
months_since_last_inquiry_not_recent__is_minus7,months_since_last_inquiry_not_recent,Months Since Last Inquiry Not Recent,special_indicator,-7.0
months_since_last_inquiry_not_recent__is_minus8,months_since_last_inquiry_not_recent,Months Since Last Inquiry Not Recent,special_indicator,-8.0
net_fraction_of_revolving_burden__is_minus8,net_fraction_of_revolving_burden,Net Fraction Of Revolving Burden,special_indicator,-8.0
net_fraction_of_installment_burden__is_minus8,net_fraction_of_installment_burden,Net Fraction Of Installment Burden,special_indicator,-8.0
nr_revolving_trades_with_balance__is_minus8,nr_revolving_trades_with_balance,Number Of Revolving Trades With Balance,special_indicator,-8.0
nr_installment_trades_with_balance__is_minus8,nr_installment_trades_with_balance,Number Of Installment Trades With Balance,special_indicator,-8.0
nr_banks_with_high_ratio__is_minus8,nr_banks_with_high_ratio,Number Of Banks With High Ratio,special_indicator,-8.0
percentage_trades_with_balance__is_minus8,percentage_trades_with_balance,Percentage Trades With Balance,special_indicator,-8.0
