case_id,row_index,true_target,predicted_class,predicted_probability,case_type,shap_top_feature,shap_top_direction,lime_top_feature,lime_top_direction,top_1_agreement,top_5_overlap_count,top_5_jaccard,direction_agreement_rate,dice_valid_counterfactual,dice_final_status,dice_counterfactual_probability,dice_changed_modifiable_features
HELOC_XAI_001,1991,1,1,0.9483221,high-confidence positive,average_duration_of_resolution,increases model at-risk output,average_duration_of_resolution,increases local at-risk prediction,True,3,0.42857142857142855,1.0,False,no_counterfactual_returned_first_pass,,
HELOC_XAI_002,9808,1,1,0.9451859,high-confidence positive,average_duration_of_resolution,increases model at-risk output,net_fraction_of_revolving_burden,increases local at-risk prediction,False,4,0.6666666666666666,1.0,False,no_counterfactual_returned_after_technical_retry,,
HELOC_XAI_003,1706,1,1,0.94406813,high-confidence positive,average_duration_of_resolution,increases model at-risk output,percentage_of_legal_trades,increases local at-risk prediction,False,4,0.6666666666666666,1.0,False,no_counterfactual_returned_after_technical_retry,,
HELOC_XAI_004,10074,1,1,0.9414553,high-confidence positive,average_duration_of_resolution,increases model at-risk output,average_duration_of_resolution,increases local at-risk prediction,True,3,0.42857142857142855,1.0,False,no_counterfactual_returned_after_technical_retry,,
HELOC_XAI_005,7308,1,1,0.9411751,high-confidence positive,average_duration_of_resolution,increases model at-risk output,net_fraction_of_revolving_burden,increases local at-risk prediction,False,4,0.6666666666666666,1.0,False,no_counterfactual_returned_after_technical_retry,,
HELOC_XAI_006,2151,0,1,0.50008893,borderline positive,net_fraction_of_revolving_burden,increases model at-risk output,net_fraction_of_revolving_burden,increases local at-risk prediction,True,4,0.6666666666666666,1.0,True,success_first_pass,0.4822611212730407,3.0
HELOC_XAI_007,2900,1,1,0.5015111,borderline positive,average_duration_of_resolution,increases model at-risk output,percentage_of_legal_trades,decreases local at-risk prediction,False,4,0.6666666666666666,1.0,False,no_counterfactual_returned_first_pass,,
HELOC_XAI_008,5033,0,1,0.50399876,borderline positive,net_fraction_of_revolving_burden,increases model at-risk output,net_fraction_of_revolving_burden,increases local at-risk prediction,True,4,0.6666666666666666,1.0,True,success_first_pass,0.3594433963298797,3.0
HELOC_XAI_009,8449,0,1,0.50418466,borderline positive,net_fraction_of_revolving_burden,decreases model at-risk output,net_fraction_of_revolving_burden,decreases local at-risk prediction,True,4,0.6666666666666666,1.0,True,success_first_pass,0.4850913882255554,2.0
HELOC_XAI_010,8777,0,1,0.50454855,borderline positive,average_duration_of_resolution,increases model at-risk output,average_duration_of_resolution,increases local at-risk prediction,True,5,1.0,1.0,False,no_counterfactual_returned_first_pass,,
HELOC_XAI_011,10266,0,0,0.0683811,high-confidence negative,months_since_last_inquiry_not_recent,decreases model at-risk output,months_since_last_inquiry_not_recent,increases local at-risk prediction,True,4,0.6666666666666666,0.75,False,no_counterfactual_returned_first_pass,,
HELOC_XAI_012,3808,0,0,0.07010493,high-confidence negative,months_since_last_inquiry_not_recent,decreases model at-risk output,percentage_of_legal_trades,decreases local at-risk prediction,False,4,0.6666666666666666,0.75,False,no_counterfactual_returned_first_pass,,
HELOC_XAI_013,9320,0,0,0.07060304,high-confidence negative,months_since_last_inquiry_not_recent,decreases model at-risk output,percentage_of_legal_trades,decreases local at-risk prediction,False,4,0.6666666666666666,0.75,False,no_counterfactual_returned_first_pass,,
HELOC_XAI_014,3476,0,0,0.07201139,high-confidence negative,average_duration_of_resolution,decreases model at-risk output,percentage_of_legal_trades,decreases local at-risk prediction,False,4,0.6666666666666666,0.75,False,no_counterfactual_returned_first_pass,,
HELOC_XAI_015,9299,0,0,0.07266821,high-confidence negative,net_fraction_of_revolving_burden,decreases model at-risk output,percentage_of_legal_trades,decreases local at-risk prediction,False,4,0.6666666666666666,1.0,False,no_counterfactual_returned_first_pass,,
HELOC_XAI_016,4253,1,0,0.49967334,borderline negative,average_duration_of_resolution,decreases model at-risk output,percentage_of_legal_trades,decreases local at-risk prediction,False,4,0.6666666666666666,1.0,True,success_first_pass,0.6258009076118469,3.0
HELOC_XAI_017,4094,1,0,0.49921927,borderline negative,net_fraction_of_revolving_burden,increases model at-risk output,percentage_of_legal_trades,decreases local at-risk prediction,False,3,0.42857142857142855,1.0,True,success_first_pass,0.5001096725463867,3.0
HELOC_XAI_018,4397,1,0,0.4984668,borderline negative,net_fraction_of_revolving_burden,decreases model at-risk output,percentage_of_legal_trades,increases local at-risk prediction,False,4,0.6666666666666666,1.0,True,success_first_pass,0.5648724436759949,2.0
HELOC_XAI_019,9391,1,0,0.49824855,borderline negative,percentage_of_legal_trades,increases model at-risk output,percentage_of_legal_trades,increases local at-risk prediction,True,5,1.0,1.0,True,success_first_pass,0.5447819232940674,3.0
HELOC_XAI_020,4366,1,0,0.4977838,borderline negative,average_duration_of_resolution,decreases model at-risk output,months_since_last_inquiry_not_recent,increases local at-risk prediction,False,3,0.42857142857142855,1.0,True,success_first_pass,0.5747077465057373,3.0
