case_id,shared_feature_count,same_direction_count,direction_agreement_rate
HELOC_XAI_001,3,3,1.0
HELOC_XAI_002,4,4,1.0
HELOC_XAI_003,4,4,1.0
HELOC_XAI_004,3,3,1.0
HELOC_XAI_005,4,4,1.0
HELOC_XAI_006,4,4,1.0
HELOC_XAI_007,4,4,1.0
HELOC_XAI_008,4,4,1.0
HELOC_XAI_009,4,4,1.0
HELOC_XAI_010,5,5,1.0
HELOC_XAI_011,4,3,0.75
HELOC_XAI_012,4,3,0.75
HELOC_XAI_013,4,3,0.75
HELOC_XAI_014,4,3,0.75
HELOC_XAI_015,4,4,1.0
HELOC_XAI_016,4,4,1.0
HELOC_XAI_017,3,3,1.0
HELOC_XAI_018,4,4,1.0
HELOC_XAI_019,5,5,1.0
HELOC_XAI_020,3,3,1.0
