case_id,row_index,true_target,predicted_class,predicted_probability,lime_local_prediction,lime_intercept,local_fidelity_r2,feature_rule,original_feature,display_feature,display_rule,display_value,lime_weight,direction,rank
XAI_001,288644,0,1,0.871334,0.5876165055060324,0.24508243069961164,0.23728495232266988,NAME_CONTRACT_TYPE=Cash loans,NAME_CONTRACT_TYPE,Contract type,Contract type: Cash loans,Cash loans,0.15992082216763168,increases local higher-risk prediction,1
XAI_001,288644,0,1,0.871334,0.5876165055060324,0.24508243069961164,0.23728495232266988,238500.00 < AMT_GOODS_PRICE <= 450000.00,AMT_GOODS_PRICE,Goods price,238500.00 < Goods price <= 450000.00,436500.0,0.09359312531250924,increases local higher-risk prediction,2
XAI_001,288644,0,1,0.871334,0.5876165055060324,0.24508243069961164,0.23728495232266988,EMPLOYMENT_YEARS <= 2.55,EMPLOYMENT_YEARS,Employment duration,Employment duration <= 2.55 years,1.4647501711156743,0.07048857513979712,increases local higher-risk prediction,3
XAI_001,288644,0,1,0.871334,0.5876165055060324,0.24508243069961164,0.23728495232266988,NAME_INCOME_TYPE=Working,NAME_INCOME_TYPE,Income type,Income type: Working,Working,0.04313699972283465,increases local higher-risk prediction,4
XAI_001,288644,0,1,0.871334,0.5876165055060324,0.24508243069961164,0.23728495232266988,AMT_REQ_CREDIT_BUREAU_YEAR <= 1.00,AMT_REQ_CREDIT_BUREAU_YEAR,Credit enquiries in previous year,Credit enquiries in previous year <= 1.00,0.0,-0.02460544753635191,decreases local higher-risk prediction,5
XAI_002,234361,0,1,0.86179584,0.6171048864651693,0.2231938126970672,0.23690849191125274,NAME_CONTRACT_TYPE=Cash loans,NAME_CONTRACT_TYPE,Contract type,Contract type: Cash loans,Cash loans,0.16094930823137082,increases local higher-risk prediction,1
XAI_002,234361,0,1,0.86179584,0.6171048864651693,0.2231938126970672,0.23690849191125274,238500.00 < AMT_GOODS_PRICE <= 450000.00,AMT_GOODS_PRICE,Goods price,238500.00 < Goods price <= 450000.00,450000.0,0.09360421886817617,increases local higher-risk prediction,2
XAI_002,234361,0,1,0.86179584,0.6171048864651693,0.2231938126970672,0.23690849191125274,EMPLOYMENT_YEARS <= 2.55,EMPLOYMENT_YEARS,Employment duration,Employment duration <= 2.55 years,1.5523613963039014,0.06979797253895174,increases local higher-risk prediction,3
XAI_002,234361,0,1,0.86179584,0.6171048864651693,0.2231938126970672,0.23690849191125274,NAME_INCOME_TYPE=Working,NAME_INCOME_TYPE,Income type,Income type: Working,Working,0.04342133613552072,increases local higher-risk prediction,4
XAI_002,234361,0,1,0.86179584,0.6171048864651693,0.2231938126970672,0.23690849191125274,24903.00 < AMT_ANNUITY <= 34596.00,AMT_ANNUITY,Annuity amount,24903.00 < Annuity amount <= 34596.00,31261.5,0.026138237994082627,increases local higher-risk prediction,5
XAI_003,25106,1,1,0.8516711,0.5885186127445192,0.244928063279433,0.23773914979507826,NAME_CONTRACT_TYPE=Cash loans,NAME_CONTRACT_TYPE,Contract type,Contract type: Cash loans,Cash loans,0.16005009970263948,increases local higher-risk prediction,1
XAI_003,25106,1,1,0.8516711,0.5885186127445192,0.244928063279433,0.23773914979507826,238500.00 < AMT_GOODS_PRICE <= 450000.00,AMT_GOODS_PRICE,Goods price,238500.00 < Goods price <= 450000.00,450000.0,0.09342465405806559,increases local higher-risk prediction,2
