case_id,number_of_reported_features,absolute_weight_sum,features_for_50_percent,features_for_80_percent
XAI_001,5,0.39174496987912455,2,3
XAI_002,5,0.3939110737681021,2,3
XAI_003,5,0.3916473681554218,2,3
XAI_004,5,0.3941166792494862,2,3
XAI_005,5,0.3681569128773881,2,3
XAI_006,5,0.4213297008003699,2,3
XAI_007,5,0.2918587978136691,1,3
XAI_008,5,0.4534479569358693,2,4
XAI_009,5,0.4983094013707016,2,3
XAI_010,5,0.4748114929502166,2,3
XAI_011,5,0.5410312586353367,2,3
XAI_012,5,0.5229148413781366,2,3
XAI_013,5,0.5013211511204491,2,3
XAI_014,5,0.5222898638396566,2,3
XAI_015,5,0.521426744410289,2,3
XAI_016,5,0.306252395840995,1,3
XAI_017,5,0.3248380232163764,2,3
XAI_018,5,0.3547012532115939,2,3
XAI_019,5,0.3218203784405658,2,3
XAI_020,5,0.42140591573653974,2,4
