original_feature,transformed_feature,feature_type,actionability,allowed_for_dice
AMT_INCOME_TOTAL,numeric__AMT_INCOME_TOTAL,Numerical,Partially actionable,False
AMT_CREDIT,numeric__AMT_CREDIT,Numerical,Actionable,True
AMT_ANNUITY,numeric__AMT_ANNUITY,Numerical,Actionable,True
AMT_GOODS_PRICE,numeric__AMT_GOODS_PRICE,Numerical,Actionable,True
CNT_FAM_MEMBERS,numeric__CNT_FAM_MEMBERS,Numerical,Non-actionable / locked,False
AMT_REQ_CREDIT_BUREAU_MON,numeric__AMT_REQ_CREDIT_BUREAU_MON,Numerical,Partially actionable,False
AMT_REQ_CREDIT_BUREAU_QRT,numeric__AMT_REQ_CREDIT_BUREAU_QRT,Numerical,Partially actionable,False
AMT_REQ_CREDIT_BUREAU_YEAR,numeric__AMT_REQ_CREDIT_BUREAU_YEAR,Numerical,Partially actionable,False
EMPLOYMENT_YEARS,numeric__EMPLOYMENT_YEARS,Numerical,Partially actionable,False
CREDIT_INCOME_RATIO,numeric__CREDIT_INCOME_RATIO,Derived numerical,Partially actionable,False
ANNUITY_INCOME_RATIO,numeric__ANNUITY_INCOME_RATIO,Derived numerical,Partially actionable,False
CREDIT_ANNUITY_RATIO,numeric__CREDIT_ANNUITY_RATIO,Derived numerical,Partially actionable,False
NAME_CONTRACT_TYPE,categorical__NAME_CONTRACT_TYPE_Cash loans,Categorical,Non-actionable / locked,False
NAME_CONTRACT_TYPE,categorical__NAME_CONTRACT_TYPE_Revolving loans,Categorical,Non-actionable / locked,False
NAME_INCOME_TYPE,categorical__NAME_INCOME_TYPE_Businessman,Categorical,Non-actionable / locked,False
NAME_INCOME_TYPE,categorical__NAME_INCOME_TYPE_Commercial associate,Categorical,Non-actionable / locked,False
NAME_INCOME_TYPE,categorical__NAME_INCOME_TYPE_Maternity leave,Categorical,Non-actionable / locked,False
NAME_INCOME_TYPE,categorical__NAME_INCOME_TYPE_Pensioner,Categorical,Non-actionable / locked,False
NAME_INCOME_TYPE,categorical__NAME_INCOME_TYPE_State servant,Categorical,Non-actionable / locked,False
NAME_INCOME_TYPE,categorical__NAME_INCOME_TYPE_Student,Categorical,Non-actionable / locked,False
NAME_INCOME_TYPE,categorical__NAME_INCOME_TYPE_Unemployed,Categorical,Non-actionable / locked,False
NAME_INCOME_TYPE,categorical__NAME_INCOME_TYPE_Working,Categorical,Non-actionable / locked,False
NAME_HOUSING_TYPE,categorical__NAME_HOUSING_TYPE_Co-op apartment,Categorical,Non-actionable / locked,False
NAME_HOUSING_TYPE,categorical__NAME_HOUSING_TYPE_House / apartment,Categorical,Non-actionable / locked,False
NAME_HOUSING_TYPE,categorical__NAME_HOUSING_TYPE_Municipal apartment,Categorical,Non-actionable / locked,False
NAME_HOUSING_TYPE,categorical__NAME_HOUSING_TYPE_Office apartment,Categorical,Non-actionable / locked,False
NAME_HOUSING_TYPE,categorical__NAME_HOUSING_TYPE_Rented apartment,Categorical,Non-actionable / locked,False
NAME_HOUSING_TYPE,categorical__NAME_HOUSING_TYPE_With parents,Categorical,Non-actionable / locked,False
