case_id,predicted_probability,predicted_class,plain_english_explanation
XAI_001,0.8713340163230896,1,"Credit-to-annuity ratio increased the model's predicted risk, Employment duration increased the model's predicted risk, Family members increased the model's predicted risk, Goods price increased the model's predicted risk, while Income type: Working increased the model's predicted risk."
XAI_002,0.8617958426475525,1,"Credit-to-annuity ratio increased the model's predicted risk, Goods price increased the model's predicted risk, Employment duration increased the model's predicted risk, Annuity amount increased the model's predicted risk, while Credit enquiries in previous year increased the model's predicted risk."
XAI_003,0.8516710996627808,1,"Credit-to-annuity ratio increased the model's predicted risk, Employment duration increased the model's predicted risk, Goods price increased the model's predicted risk, Housing type: Rented apartment increased the model's predicted risk, while Annuity amount increased the model's predicted risk."
XAI_004,0.8458830118179321,1,"Credit-to-annuity ratio increased the model's predicted risk, Employment duration increased the model's predicted risk, Goods price increased the model's predicted risk, Housing type: Rented apartment increased the model's predicted risk, while Income type: Working increased the model's predicted risk."
XAI_005,0.8445412516593933,1,"Credit-to-annuity ratio increased the model's predicted risk, Employment duration increased the model's predicted risk, Family members increased the model's predicted risk, Goods price increased the model's predicted risk, while Income type: Working increased the model's predicted risk."
XAI_006,0.5000002980232239,1,"Employment duration reduced the model's predicted risk, Goods price increased the model's predicted risk, Income type: Working increased the model's predicted risk, Requested credit amount reduced the model's predicted risk, while Credit-to-income ratio reduced the model's predicted risk."
XAI_007,0.5000077486038208,1,"Credit-to-annuity ratio increased the model's predicted risk, Income type: Working reduced the model's predicted risk, Employment duration reduced the model's predicted risk, Goods price reduced the model's predicted risk, while Credit enquiries in previous year increased the model's predicted risk."
XAI_008,0.5000227689743042,1,"Contract type: Cash loans reduced the model's predicted risk, Employment duration increased the model's predicted risk, Goods price increased the model's predicted risk, Requested credit amount reduced the model's predicted risk, while Credit-to-annuity ratio increased the model's predicted risk."
XAI_009,0.5000302195549011,1,"Goods price reduced the model's predicted risk, Employment duration increased the model's predicted risk, Requested credit amount increased the model's predicted risk, Credit-to-annuity ratio reduced the model's predicted risk, while Annuity amount increased the model's predicted risk."
XAI_010,0.5000400543212891,1,"Goods price reduced the model's predicted risk, Annuity amount increased the model's predicted risk, Requested credit amount increased the model's predicted risk, Income type: Working increased the model's predicted risk, while Credit-to-annuity ratio increased the model's predicted risk."
XAI_011,0.010518629103899002,0,"Employment duration reduced the model's predicted risk, Goods price reduced the model's predicted risk, Contract type: Cash loans reduced the model's predicted risk, Annuity amount reduced the model's predicted risk, while Requested credit amount reduced the model's predicted risk."
XAI_012,0.021245533600449562,0,"Employment duration reduced the model's predicted risk, Credit-to-annuity ratio reduced the model's predicted risk, Goods price reduced the model's predicted risk, Contract type: Cash loans reduced the model's predicted risk, while Annuity amount reduced the model's predicted risk."
XAI_013,0.023586474359035492,0,"Credit-to-annuity ratio reduced the model's predicted risk, Goods price reduced the model's predicted risk, Contract type: Cash loans reduced the model's predicted risk, Income type: State servant reduced the model's predicted risk, while Requested credit amount reduced the model's predicted risk."
XAI_014,0.026014139875769615,0,"Credit-to-annuity ratio reduced the model's predicted risk, Goods price reduced the model's predicted risk, Contract type: Cash loans reduced the model's predicted risk, Employment duration reduced the model's predicted risk, while Requested credit amount reduced the model's predicted risk."
XAI_015,0.02833911031484604,0,"Employment duration reduced the model's predicted risk, Credit-to-annuity ratio reduced the model's predicted risk, Annuity amount reduced the model's predicted risk, Goods price reduced the model's predicted risk, while Income type: Working reduced the model's predicted risk."
XAI_016,0.49998629093170166,0,"Credit-to-annuity ratio reduced the model's predicted risk, Employment duration increased the model's predicted risk, Annuity amount increased the model's predicted risk, Income type: Working reduced the model's predicted risk, while Goods price reduced the model's predicted risk."
XAI_017,0.4999781847000122,0,"Credit-to-annuity ratio reduced the model's predicted risk, Employment duration increased the model's predicted risk, Income type: Working increased the model's predicted risk, Goods price reduced the model's predicted risk, while Annuity-to-income ratio reduced the model's predicted risk."
XAI_018,0.4999731779098511,0,"Employment duration reduced the model's predicted risk, Goods price reduced the model's predicted risk, Income type: Working increased the model's predicted risk, Annuity amount reduced the model's predicted risk, while Credit enquiries in previous year increased the model's predicted risk."
XAI_019,0.49996042251586914,0,"Employment duration increased the model's predicted risk, Credit-to-annuity ratio increased the model's predicted risk, Requested credit amount reduced the model's predicted risk, Goods price reduced the model's predicted risk, while Income type: Working increased the model's predicted risk."
XAI_020,0.4999467134475708,0,"Contract type: Cash loans reduced the model's predicted risk, Employment duration increased the model's predicted risk, Goods price increased the model's predicted risk, Annuity amount reduced the model's predicted risk, while Income type: Working increased the model's predicted risk."
