case_id,row_index,true_target,predicted_class,predicted_probability,case_type,shap_top_feature,shap_top_direction,lime_top_feature,lime_top_direction,top_1_agreement,top_5_overlap_count,top_5_jaccard,direction_agreement_rate,dice_valid_counterfactual,dice_final_status,dice_counterfactual_probability,dice_changed_actionable_features
XAI_001,288644,0,1,0.871334,high-confidence positive,Credit-to-annuity ratio,increases model risk output,Contract type,increases local higher-risk prediction,False,3,0.42857142857142855,1.0,True,success_first_pass,0.2290840297937393,3.0
XAI_002,234361,0,1,0.86179584,high-confidence positive,Credit-to-annuity ratio,increases model risk output,Contract type,increases local higher-risk prediction,False,3,0.42857142857142855,1.0,True,success_first_pass,0.3896674215793609,2.0
XAI_003,25106,1,1,0.8516711,high-confidence positive,Credit-to-annuity ratio,increases model risk output,Contract type,increases local higher-risk prediction,False,2,0.25,1.0,True,success_first_pass,0.2861591875553131,1.0
XAI_004,148440,0,1,0.845883,high-confidence positive,Credit-to-annuity ratio,increases model risk output,Contract type,increases local higher-risk prediction,False,3,0.42857142857142855,1.0,True,success_first_pass,0.3982248902320862,1.0
XAI_005,267529,0,1,0.84454125,high-confidence positive,Credit-to-annuity ratio,increases model risk output,Contract type,increases local higher-risk prediction,False,3,0.42857142857142855,1.0,True,success_first_pass,0.4189781248569488,1.0
XAI_006,259190,0,1,0.5000003,borderline positive,Employment duration,decreases model risk output,Contract type,increases local higher-risk prediction,False,3,0.42857142857142855,1.0,True,success_first_pass,0.4263119697570801,3.0
XAI_007,125832,0,1,0.50000775,borderline positive,Credit-to-annuity ratio,increases model risk output,Contract type,increases local higher-risk prediction,False,3,0.42857142857142855,0.6666666666666666,False,technical_error_first_pass,,
XAI_008,3508,0,1,0.50002277,borderline positive,Contract type: Cash loans,decreases model risk output,Contract type,decreases local higher-risk prediction,True,3,0.42857142857142855,1.0,False,no_counterfactual_returned_after_retry,,
XAI_009,264908,0,1,0.5000302,borderline positive,Goods price,decreases model risk output,Goods price,decreases local higher-risk prediction,True,4,0.6666666666666666,1.0,True,success_first_pass,0.3259851038455963,3.0
XAI_010,253960,0,1,0.50004005,borderline positive,Goods price,decreases model risk output,Goods price,decreases local higher-risk prediction,True,4,0.6666666666666666,1.0,False,no_counterfactual_returned_after_retry,,
XAI_011,90598,0,0,0.010518629,high-confidence negative,Employment duration,decreases model risk output,Goods price,decreases local higher-risk prediction,False,4,0.6666666666666666,0.75,False,no_counterfactual_returned_after_retry,,
XAI_012,15501,0,0,0.021245534,high-confidence negative,Employment duration,decreases model risk output,Goods price,decreases local higher-risk prediction,False,3,0.42857142857142855,1.0,False,no_counterfactual_returned_after_retry,,
XAI_013,144204,0,0,0.023586474,high-confidence negative,Credit-to-annuity ratio,decreases model risk output,Goods price,decreases local higher-risk prediction,False,4,0.6666666666666666,0.75,False,no_counterfactual_returned_after_retry,,
XAI_014,12108,0,0,0.02601414,high-confidence negative,Credit-to-annuity ratio,decreases model risk output,Goods price,decreases local higher-risk prediction,False,4,0.6666666666666666,0.75,False,technical_error_first_pass,,
XAI_015,199276,0,0,0.02833911,high-confidence negative,Employment duration,decreases model risk output,Goods price,decreases local higher-risk prediction,False,3,0.42857142857142855,0.6666666666666666,False,timeout_after_retry,,
XAI_016,212939,0,0,0.4999863,borderline negative,Credit-to-annuity ratio,decreases model risk output,Contract type,increases local higher-risk prediction,False,2,0.25,1.0,False,no_counterfactual_returned_after_retry,,
XAI_017,175552,0,0,0.49997818,borderline negative,Credit-to-annuity ratio,decreases model risk output,Contract type,increases local higher-risk prediction,False,3,0.42857142857142855,1.0,True,success_first_pass,0.6072993874549866,1.0
XAI_018,46076,1,0,0.49997318,borderline negative,Employment duration,decreases model risk output,Contract type,increases local higher-risk prediction,False,3,0.42857142857142855,1.0,False,no_counterfactual_returned_after_retry,,
XAI_019,240635,0,0,0.49996042,borderline negative,Employment duration,increases model risk output,Contract type,increases local higher-risk prediction,False,3,0.42857142857142855,1.0,False,no_counterfactual_returned_after_retry,,
XAI_020,200211,0,0,0.4999467,borderline negative,Contract type: Cash loans,decreases model risk output,Contract type,decreases local higher-risk prediction,True,5,1.0,1.0,False,no_counterfactual_returned_after_retry,,
