case_id,top_1_agreement,top_3_overlap_count,top_3_jaccard,top_5_overlap_count,top_5_jaccard,shared_top_5_features,shared_feature_rank_spearman
XAI_001,False,1,0.2,3,0.42857142857142855,AMT_GOODS_PRICE; EMPLOYMENT_YEARS; NAME_INCOME_TYPE,0.5
XAI_002,False,2,0.5,3,0.42857142857142855,AMT_ANNUITY; AMT_GOODS_PRICE; EMPLOYMENT_YEARS,1.0
XAI_003,False,2,0.5,2,0.25,AMT_GOODS_PRICE; EMPLOYMENT_YEARS,-0.9999999999999999
XAI_004,False,2,0.5,3,0.42857142857142855,AMT_GOODS_PRICE; EMPLOYMENT_YEARS; NAME_INCOME_TYPE,0.5
XAI_005,False,0,0.0,3,0.42857142857142855,AMT_GOODS_PRICE; EMPLOYMENT_YEARS; NAME_INCOME_TYPE,-0.5
XAI_006,False,2,0.5,3,0.42857142857142855,AMT_GOODS_PRICE; EMPLOYMENT_YEARS; NAME_INCOME_TYPE,1.0
XAI_007,False,2,0.5,3,0.42857142857142855,AMT_GOODS_PRICE; EMPLOYMENT_YEARS; NAME_INCOME_TYPE,0.5
XAI_008,True,3,1.0,3,0.42857142857142855,AMT_GOODS_PRICE; EMPLOYMENT_YEARS; NAME_CONTRACT_TYPE,0.5
XAI_009,True,2,0.5,4,0.6666666666666666,AMT_ANNUITY; AMT_CREDIT; AMT_GOODS_PRICE; EMPLOYMENT_YEARS,1.0
XAI_010,True,1,0.2,4,0.6666666666666666,AMT_ANNUITY; AMT_CREDIT; AMT_GOODS_PRICE; NAME_INCOME_TYPE,0.19999999999999998
XAI_011,False,3,1.0,4,0.6666666666666666,AMT_CREDIT; AMT_GOODS_PRICE; EMPLOYMENT_YEARS; NAME_CONTRACT_TYPE,0.39999999999999997
XAI_012,False,2,0.5,3,0.42857142857142855,AMT_GOODS_PRICE; EMPLOYMENT_YEARS; NAME_CONTRACT_TYPE,-0.5
XAI_013,False,2,0.5,4,0.6666666666666666,AMT_CREDIT; AMT_GOODS_PRICE; CREDIT_ANNUITY_RATIO; NAME_CONTRACT_TYPE,-0.19999999999999998
XAI_014,False,2,0.5,4,0.6666666666666666,AMT_CREDIT; AMT_GOODS_PRICE; EMPLOYMENT_YEARS; NAME_CONTRACT_TYPE,1.0
XAI_015,False,1,0.2,3,0.42857142857142855,AMT_ANNUITY; AMT_GOODS_PRICE; EMPLOYMENT_YEARS,-0.5
XAI_016,False,1,0.2,2,0.25,AMT_ANNUITY; EMPLOYMENT_YEARS,0.9999999999999999
XAI_017,False,2,0.5,3,0.42857142857142855,AMT_GOODS_PRICE; EMPLOYMENT_YEARS; NAME_INCOME_TYPE,1.0
XAI_018,False,2,0.5,3,0.42857142857142855,AMT_GOODS_PRICE; EMPLOYMENT_YEARS; NAME_INCOME_TYPE,0.5
XAI_019,False,1,0.2,3,0.42857142857142855,AMT_GOODS_PRICE; EMPLOYMENT_YEARS; NAME_INCOME_TYPE,0.5
XAI_020,True,3,1.0,5,1.0,AMT_ANNUITY; AMT_GOODS_PRICE; EMPLOYMENT_YEARS; NAME_CONTRACT_TYPE; NAME_INCOME_TYPE,0.8999999999999998
